time	WettedArea_bottom	maxU
0	4.4382453708327e-06	3.8880312121132e-10
1e-07	4.4382453708327e-06	3.8880312121132e-10
2e-07	4.4383127357086e-06	3.2041030783712e-10
3e-07	4.4383148481353e-06	2.8162592705114e-10
4e-07	4.4383149144102e-06	2.1808378221449e-10
5e-07	4.4383149165092e-06	1.8693023250256e-10
6e-07	4.4383149165966e-06	1.6234099278932e-10
7e-07	4.4383149166174e-06	1.4405700647984e-10
8e-07	4.4383149166333e-06	1.3347606542042e-10
9e-07	4.4383149166471e-06	1.24779495067e-10
1e-06	4.4383149166594e-06	1.1675519651583e-10
1.1e-06	4.4383149166704e-06	1.0937370162533e-10
1.2e-06	4.4383149166805e-06	1.0385375389316e-10
1.3e-06	4.4383149166897e-06	1.0051068224658e-10
1.4e-06	4.4383149166982e-06	9.7307121044036e-11
1.5e-06	4.4383149167062e-06	9.3632217777112e-11
1.6e-06	4.4383149167136e-06	9.7006259035158e-11
1.7e-06	4.4383149167206e-06	8.7771728542333e-11
1.8e-06	4.4383149167273e-06	8.4373238480992e-11
1.9e-06	4.4383149167335e-06	8.208574088621e-11
2e-06	4.4383149167395e-06	1.2653403151329e-10
2.1e-06	4.4383149167452e-06	7.8211850233816e-11
2.2e-06	4.4383149167507e-06	8.7416760440194e-11
2.3e-06	4.4383149167559e-06	7.3041664744219e-11
2.4e-06	4.4383149167609e-06	7.0343924697559e-11
2.5e-06	4.4383149167657e-06	6.9620543072748e-11
2.6e-06	4.4383149167703e-06	6.7273522865605e-11
2.7e-06	4.4383149167748e-06	6.6392691719858e-11
2.8e-06	4.4383149167792e-06	6.4316806958515e-11
2.9e-06	4.4383149167833e-06	6.334139830533e-11
3e-06	4.4383149167874e-06	6.1481892567455e-11
3.1e-06	4.4383149167913e-06	6.0456890076267e-11
3.2e-06	4.4383149167952e-06	5.8777507995324e-11
3.3e-06	4.4383149167989e-06	5.7563044180948e-11
3.4e-06	4.4383149168025e-06	5.6384938855277e-11
3.5e-06	4.438314916806e-06	5.5241811208869e-11
3.6e-06	4.4383149168094e-06	5.4132474898372e-11
3.7e-06	4.4383149168128e-06	5.3055792354508e-11
3.8e-06	4.4383149168161e-06	5.1352364011714e-11
3.9e-06	4.4383149168192e-06	5.0535935769654e-11
4e-06	4.4383149168224e-06	4.9193367299827e-11
4.1e-06	4.4383149168254e-06	4.8307776440787e-11
4.2e-06	4.4383149168284e-06	4.7098160862512e-11
4.3e-06	4.4383149168313e-06	4.6217143321301e-11
4.4e-06	4.4383149168341e-06	4.514932927339e-11
4.5e-06	4.4383149168369e-06	4.4114244038751e-11
4.6e-06	4.4383149168397e-06	4.3157691945563e-11
4.7e-06	4.4383149168423e-06	4.2358550846624e-11
4.8e-06	4.438314916845e-06	4.1528045407936e-11
4.9e-06	4.4383149168476e-06	4.0719703254589e-11
5e-06	4.4383149168501e-06	3.9927655677239e-11
5.1e-06	4.4383149168526e-06	3.9420212361731e-11
5.2e-06	4.438314916855e-06	3.8918412063783e-11
5.3e-06	4.4383149168574e-06	3.8422816366481e-11
5.4e-06	4.4383149168598e-06	3.7933899826578e-11
5.5e-06	4.4383149168621e-06	3.7179363253704e-11
5.6e-06	4.4383149168644e-06	3.6758774709394e-11
5.7e-06	4.4383149168666e-06	3.6096079503202e-11
5.8e-06	4.4383149168688e-06	3.561761188893e-11
5.9e-06	4.438314916871e-06	3.5145432881917e-11
6e-06	4.4383149168731e-06	3.4679864533104e-11
6.1e-06	4.4383149168752e-06	3.4221173216698e-11
6.2e-06	4.4383149168773e-06	3.3599729299649e-11
6.3e-06	4.4383149168794e-06	3.6322374933245e-11
6.4e-06	4.4383149168814e-06	3.2678904029677e-11
6.5e-06	4.4383149168834e-06	3.217651039298e-11
6.6e-06	4.4383149168853e-06	3.168447538583e-11
6.7e-06	4.4383149168872e-06	3.1301016851691e-11
6.8e-06	4.4383149168891e-06	4.2850838117661e-11
6.9e-06	4.438314916891e-06	5.3137179920861e-11
7e-06	4.4383149168928e-06	6.4338888551652e-11
7.1e-06	4.4383149168947e-06	2.9525085757723e-11
7.2e-06	4.4383149168965e-06	2.9121874598622e-11
7.3e-06	4.4383149168982e-06	4.0644766004543e-11
7.4e-06	4.4383149169e-06	5.3740655524833e-11
7.5e-06	4.4383149169017e-06	7.1791756219406e-11
7.6e-06	4.4383149169034e-06	9.6184841402053e-11
7.7e-06	4.4383149169051e-06	2.7128289746851e-11
7.8e-06	4.4383149169068e-06	3.9919910450103e-11
7.9e-06	4.4383149169084e-06	7.0651275842357e-11
8e-06	4.43831491691e-06	8.1641639750938e-11
8.1e-06	4.4383149169116e-06	1.1289866563156e-10
8.2e-06	4.4383149169132e-06	1.3977780594807e-10
8.3e-06	4.4383149169148e-06	4.0563114070475e-11
8.4e-06	4.4383149169163e-06	4.7830390168226e-11
8.5e-06	4.4383149169179e-06	8.8389935054075e-11
8.6e-06	4.4383149169194e-06	1.1694902578928e-10
8.7e-06	4.4383149169209e-06	1.5356847658051e-10
8.8e-06	4.4383149169223e-06	6.2077524015071e-11
8.9e-06	4.4383149169238e-06	4.4738072876201e-11
9e-06	4.4383149169252e-06	9.1797525110095e-11
9.1e-06	4.4383149169267e-06	1.243243259675e-10
9.2e-06	4.4383149169281e-06	1.4766070358795e-10
9.3e-06	4.4383149169295e-06	1.8136113355768e-10
9.4e-06	4.4383149169309e-06	7.5190498083389e-11
9.5e-06	4.4383149169322e-06	4.9224539208142e-11
9.6e-06	4.4383149169336e-06	9.8256518195584e-11
9.7e-06	4.4383149169349e-06	1.3484175995928e-10
9.8e-06	4.4383149169362e-06	1.7431084249608e-10
9.9e-06	4.4383149169375e-06	2.2216025397471e-10
1e-05	4.4383149169388e-06	2.8712466225644e-10
1.01e-05	4.4383149169401e-06	8.4835162791025e-11
1.02e-05	4.4383149169414e-06	1.0100351779488e-10
1.03e-05	4.4383149169426e-06	1.848169912121e-10
1.04e-05	4.4383149169439e-06	2.4366054094676e-10
1.05e-05	4.4383149169451e-06	3.1352095034492e-10
1.06e-05	4.4383149169463e-06	1.2626252152735e-10
1.07e-05	4.4383149169475e-06	9.4657072036502e-11
1.08e-05	4.4383149169487e-06	1.9182630822464e-10
1.09e-05	4.4383149169499e-06	2.5894405474463e-10
1.1e-05	4.4383149169511e-06	2.9270963068096e-10
1.11e-05	4.4383149169523e-06	1.1351657231257e-10
1.12e-05	4.4383149169534e-06	9.176778026189e-11
1.13e-05	4.4383149169545e-06	1.7107986090232e-10
1.14e-05	4.4383149169557e-06	2.3183011927234e-10
1.15e-05	4.4383149169568e-06	2.9734618824468e-10
1.16e-05	4.4383149169579e-06	2.0343585328399e-10
1.17e-05	4.438314916959e-06	1.5851571127735e-10
1.18e-05	4.4383149169601e-06	1.321614906768e-10
1.19e-05	4.4383149169612e-06	1.1660470245178e-10
1.2e-05	4.4383149169622e-06	1.1079677597789e-10
1.21e-05	4.4383149169633e-06	7.5677062488334e-11
1.22e-05	4.4383149169643e-06	5.7382230104809e-11
1.23e-05	4.4383149169654e-06	1.2504654143611e-10
1.24e-05	4.4383149169664e-06	1.062873137069e-10
1.25e-05	4.4383149169674e-06	9.897032190195e-11
1.26e-05	4.4383149169684e-06	1.0638061035589e-10
1.27e-05	4.4383149169694e-06	1.2767049125415e-10
1.28e-05	4.4383149169704e-06	1.5528411818711e-10
1.29e-05	4.4383149169714e-06	1.9810055049209e-10
1.3e-05	4.4383149169724e-06	2.3307417934454e-10
1.31e-05	4.4383149169733e-06	2.9585815725988e-10
1.32e-05	4.4383149169743e-06	7.7245417975767e-11
1.33e-05	4.4383149169752e-06	9.3401055486329e-11
1.34e-05	4.4383149169762e-06	1.7424957368906e-10
1.35e-05	4.4383149169771e-06	2.3129838168131e-10
1.36e-05	4.438314916978e-06	3.3284559329703e-10
1.37e-05	4.438314916979e-06	1.2619292872337e-10
1.38e-05	4.4383149169799e-06	8.3632146606216e-11
1.39e-05	4.4383149169808e-06	1.7728459865638e-10
1.4e-05	4.4383149169817e-06	2.4132508549771e-10
1.41e-05	4.4383149169826e-06	3.0815391457392e-10
1.42e-05	4.4383149169834e-06	1.1567084428953e-10
1.43e-05	4.4383149169843e-06	8.1619827549875e-11
1.44e-05	4.4383149169852e-06	1.7209188617324e-10
1.45e-05	4.438314916986e-06	2.3378201283065e-10
1.46e-05	4.4383149169869e-06	3.0283450526974e-10
1.47e-05	4.4383149169877e-06	2.1386268999848e-10
1.48e-05	4.4383149169886e-06	1.7869485146039e-10
1.49e-05	4.4383149169894e-06	1.5812848305692e-10
1.5e-05	4.4383149169902e-06	1.4582711014955e-10
1.51e-05	4.438314916991e-06	1.3829319763981e-10
1.52e-05	4.4383149169919e-06	1.3356625751403e-10
1.53e-05	4.4383149169927e-06	1.30529265322e-10
1.54e-05	4.4383149169935e-06	1.3415768428931e-10
1.55e-05	4.4383149169943e-06	1.0171833899598e-10
1.56e-05	4.438314916995e-06	6.800526842702e-11
1.57e-05	4.4383149169958e-06	8.0312787805354e-11
1.58e-05	4.4383149169966e-06	8.4000421284759e-11
1.59e-05	4.4383149169974e-06	1.0224924489745e-10
1.6e-05	4.4383149169981e-06	1.2651641299751e-10
1.61e-05	4.4383149169989e-06	1.4970808174043e-10
1.62e-05	4.4383149169996e-06	1.8796901555234e-10
1.63e-05	4.4383149170004e-06	2.2348498075856e-10
1.64e-05	4.4383149170011e-06	2.7932250502945e-10
1.65e-05	4.4383149170019e-06	3.3566258000075e-10
1.66e-05	4.4383149170026e-06	9.2070412098548e-11
