time	magVelocity	x-Velocity	y-Velocity	z-Velocity	bubbleVolume	bubbleArea	bubbleAreaPLIC	bubbleCenterx	bubbleCentery	bubbleCenterz	radiusA	radiusB	sphericity	sphericityPLIC
0	1.16255682005e-06	7.08585680083e-09	-1.16253522548e-06	-8.87306244396e-24	2.3258373296e-11	6.97383333497e-08	6.97991327769e-08	0.000589120869714	0.0040003062025	-5.18915262163e-21	0.00017707757904	7.44956390522e-05	5.65022121504	5.64529951759
1.2e-07	1.16255682005e-06	7.08585680083e-09	-1.16253522548e-06	-8.87306244396e-24	2.3258373296e-11	6.97383333497e-08	6.97991327769e-08	0.000589120869714	0.0040003062025	-5.18915262163e-21	0.00017707757904	7.44956390522e-05	5.65022121504	5.64529951759
2.64e-07	2.55763028615e-06	1.42893471865e-08	-2.55759036892e-06	-1.99931769655e-23	2.3258373296e-11	6.97383333477e-08	6.97989367816e-08	0.000589120869713	0.00400030620223	-5.18915262261e-21	0.00017707757904	7.44956390511e-05	5.6502212152	5.64531536958
