time	force_x	force_y	force_z
1e-07	0	-7.6929527e-88	0
2e-07	0	-7.9956209e-87	0
3e-07	0	-4.6685681e-86	0
4e-07	0	-2.0521874e-85	0
5e-07	0	-7.6234414e-85	0
6e-07	0	-2.5362849e-84	0
7e-07	0	-7.812e-84	0
8e-07	0	-2.2739804e-83	0
9e-07	0	-6.3407064e-83	0
1e-06	0	-1.7093846e-82	0
1.1e-06	0	-5.2775003e-82	0
1.2e-06	0	-1.7058902e-81	0
1.3e-06	0	-5.3762313e-81	0
1.4e-06	0	-1.6163166e-80	0
