meshFamily,boundaryMode,cellsPerWavelength,cells,hOverLambda,maxNonOrthogonality,avgNonOrthogonality,pressureRelL2,pressureRelLinf,velocityRelL2,velocityInteriorRelL2,velocityBoundaryRelL2,pressureOrder,velocityOrder
orthogonal,dirichlet,16.0,180.0,0.0625,0.0,0.0,0.01802166573496386,0.030390231621744142,0.014146794145880931,0.0077627162933099425,0.01584280080864746,,
orthogonal,dirichlet,24.0,405.0,0.041666666666666664,0.0,0.0,0.007897552672579305,0.013480004570331995,0.006342362796953005,0.0047820839987003086,0.007939643343291008,2.034754,1.978559
orthogonal,dirichlet,32.0,720.0,0.03125,0.0,0.0,0.004420920041897806,0.007551032479658988,0.003590119483584276,0.002725225733704993,0.004531655498367052,2.0168274,1.9781069
orthogonal,dirichlet,48.0,1620.0,0.020833333333333332,0.0,0.0,0.0019581409891253725,0.003348233729477936,0.001609483993265043,0.0013957338292503933,0.002226136022933632,2.0084398,1.9786459
orthogonal,dirichlet,64.0,2880.0,0.015625,0.0,0.0,0.0011001459630514236,0.0018811187574008508,0.0009107559755995132,0.0007756536393000511,0.001278028663686609,2.0041314,1.9792471
orthogonal,dirichlet,96.0,6480.0,0.010416666666666666,0.0,0.0,0.0004885407801064541,0.0008355391178386297,0.00040811729479311786,0.00036466867842885705,0.0006475082451509547,2.002084,1.979752
orthogonal,mixed,16.0,180.0,0.0625,0.0,0.0,0.05520482914419136,0.08058503183579747,0.043047802137689016,0.04122183267269575,0.04369287551420861,,
orthogonal,mixed,24.0,405.0,0.041666666666666664,0.0,0.0,0.023477362282669164,0.034455194994504085,0.0184338108643698,0.01775603254949253,0.0192884185786739,2.1087235,2.0917328
orthogonal,mixed,32.0,720.0,0.03125,0.0,0.0,0.013010089413918492,0.019158910528009294,0.010240310775551693,0.00982973469680072,0.010788899739010888,2.0519578,2.0434174
orthogonal,mixed,48.0,1620.0,0.020833333333333332,0.0,0.0,0.005721689192260666,0.008430481146256486,0.0045115453749441595,0.004449929446956222,0.0047315087207816684,2.0259723,2.0216098
orthogonal,mixed,64.0,2880.0,0.015625,0.0,0.0,0.0032067037616544825,0.004723906572056139,0.002530052904060631,0.0024704556740105517,0.002729955995211823,2.0127098,2.0105512
orthogonal,mixed,96.0,6480.0,0.010416666666666666,0.0,0.0,0.0014214948280807187,0.0020941884062781247,0.0011220424651034024,0.0011096631940108704,0.0012111597694136771,2.006423,2.0053256
warpedInterior,dirichlet,16.0,180.0,0.0625,32.7539937969,14.7134331166,0.02994310430855723,0.05247173562461859,0.08663334018732409,0.0460595087425315,0.10389922722123701,,
warpedInterior,dirichlet,24.0,405.0,0.041666666666666664,36.964377716,15.8711058079,0.018716230423310706,0.03321103617101984,0.06849106964476001,0.05350687614806263,0.08368231296735607,1.1589357,0.57953536
warpedInterior,dirichlet,32.0,720.0,0.03125,36.4233963794,15.9965581104,0.010259892771162522,0.01832516441401036,0.04447493729272892,0.037580823230129755,0.05536866072295654,2.0896286,1.5008844
warpedInterior,dirichlet,48.0,1620.0,0.020833333333333332,37.1636393506,16.0155777074,0.004661669533789668,0.008340285653845347,0.025450273540366886,0.026189558786244498,0.02293486074715806,1.9455897,1.3766889
warpedInterior,dirichlet,64.0,2880.0,0.015625,37.2370440488,15.9725156195,0.0025640175391679516,0.004593292486719879,0.015218543742099548,0.015282423732392577,0.01493058748011233,2.0779824,1.7874309
warpedInterior,dirichlet,96.0,6480.0,0.010416666666666666,37.1314135561,15.8933364716,0.0011209388902361868,0.0020113952744461898,0.007724198002857431,0.007675574258212662,0.008056587601703934,2.0406411,1.6725401
warpedInterior,mixed,16.0,180.0,0.0625,32.7539937969,14.7134331166,0.03716698572982375,0.07851766341837418,0.10191003789427151,0.07524198046962165,0.1152057227161788,,
warpedInterior,mixed,24.0,405.0,0.041666666666666664,36.964377716,15.8711058079,0.03085783641886161,0.07241123417077293,0.08240091740170195,0.07322232928864071,0.09271590272481522,0.45880681,0.52407437
warpedInterior,mixed,32.0,720.0,0.03125,36.4233963794,15.9965581104,0.018425246489022183,0.04225424926992913,0.0533569534030772,0.04827133486482959,0.061973318727597294,1.7924958,1.5106686
warpedInterior,mixed,48.0,1620.0,0.020833333333333332,37.1636393506,16.0155777074,0.00960628287754843,0.02175239657941873,0.030545641810233087,0.03146432863793031,0.027412051046329582,1.6063145,1.3756604
warpedInterior,mixed,64.0,2880.0,0.015625,37.2370440488,15.9725156195,0.005449495584147883,0.012288033678907292,0.018234596596977574,0.01830740944571252,0.01790656081121733,1.9705583,1.7933037
warpedInterior,mixed,96.0,6480.0,0.010416666666666666,37.1314135561,15.8933364716,0.0024811319024134063,0.005562670424455107,0.00921901119481355,0.009163340615079686,0.00959994080098682,1.9405077,1.6821495
