position_m,gorkov_force_y_N
0.0,0.0
1.531062124248497e-05,2.623949313134592e-17
3.062124248496994e-05,5.247372259988723e-17
4.5931863727454906e-05,7.869742579871421e-17
6.124248496993988e-05,1.0490534223249504e-16
7.655310621242485e-05,1.3109221457273528e-16
9.186372745490981e-05,1.5725278971240215e-16
0.00010717434869739478,1.8338181981970172e-16
0.00012248496993987976,2.094740633907983e-16
0.00013779559118236474,2.3552428630126393e-16
0.0001531062124248497,2.6152726285604816e-16
0.00016841683366733466,2.874777768377562e-16
0.00018372745490981962,3.133706225530265e-16
0.0001990380761523046,3.3920060587679667e-16
0.00021434869739478957,3.6496254529424907e-16
0.00022965931863727456,3.9065127294022715e-16
0.0002449699398797595,4.1626163563591235e-16
0.0002602805611222445,4.4178849592255656e-16
0.0002755911823647295,4.672267330920603e-16
0.00029090180360721445,4.925712442141903e-16
0.0003062124248496994,5.178169451602315e-16
0.00032152304609218437,5.429587716228677e-16
0.00033683366733466933,5.679916801320844e-16
0.00035214428857715434,5.929106490668944e-16
0.00036745490981963925,6.177106796626778e-16
0.00038276553106212426,6.42386797013938e-16
0.0003980761523046092,6.669340510722724e-16
0.0004133867735470942,6.913475176393555e-16
0.00042869739478957914,7.156222993547365e-16
0.00044400801603206415,7.397535266782548e-16
0.0004593186372745491,7.637363588668727e-16
0.00047462925851703407,7.875659849457318e-16
0.000489939879759519,8.112376246732398e-16
0.000505250501002004,8.34746529499989e-16
0.000520561122244489,8.580879835213204e-16
0.000535871743486974,8.812573044233371e-16
0.000551182364729459,9.042498444221802e-16
0.0005664929859719439,9.27060991196378e-16
0.0005818036072144289,9.496861688120811e-16
0.0005971142284569138,9.721208386409991e-16
0.0006124248496993988,9.943605002708516e-16
0.0006277354709418838,1.0164006924081555e-15
0.0006430460921843687,1.038236993773164e-15
0.0006583567134268536,1.0598650239867771e-15
0.0006736673346693387,1.0812804444492514e-15
0.0006889779559118237,1.1024789592105259e-15
0.0007042885771543087,1.1234563158319915e-15
0.0007195991983967936,1.1442083062395354e-15
0.0007349098196392785,1.1647307675676824e-15
0.0007502204408817636,1.185019582994671e-15
0.0007655310621242485,1.2050706825682887e-15
0.0007808416833667334,1.2248800440223095e-15
0.0007961523046092184,1.2444436935833625e-15
0.0008114629258517035,1.2637577067680742e-15
0.0008267735470941884,1.2828182091703234e-15
0.0008420841683366734,1.3016213772384498e-15
0.0008573947895791583,1.3201634390422612e-15
0.0008727054108216433,1.3384406750296858e-15
0.0008880160320641283,1.3564494187729177e-15
0.0009033266533066132,1.374186057703904e-15
0.0009186372745490982,1.3916470338390304e-15
0.0009339478957915832,1.4088288444928538e-15
0.0009492585170340681,1.4257280429807454e-15
0.0009645691382765532,1.4423412393102966e-15
0.000979879759519038,1.4586651008613558e-15
0.000995190380761523,1.4746963530545536e-15
0.001010501002004008,1.490431780008186e-15
0.001025811623246493,1.5058682251833227e-15
0.001041122244488978,1.5210025920170126e-15
0.0010564328657314628,1.5358318445434547e-15
0.001071743486973948,1.5503530080030165e-15
0.0010870541082164328,1.564563169438973e-15
0.001102364729458918,1.5784594782818473e-15
0.0011176753507014029,1.5920391469212387e-15
0.0011329859719438878,1.605299451265018e-15
0.0011482965931863727,1.618237731285782e-15
0.0011636072144288578,1.6308513915544597e-15
0.0011789178356713427,1.6431379017609548e-15
0.0011942284569138276,1.6550947972217289e-15
0.0012095390781563125,1.6667196793742196e-15
0.0012248496993987976,1.6780102162579921e-15
0.0012401603206412828,1.6889641429825348e-15
0.0012554709418837677,1.6995792621815957e-15
0.0012707815631262526,1.7098534444539776e-15
0.0012860921843687375,1.7197846287906964e-15
0.0013014028056112224,1.7293708229884222e-15
0.0013167134268537073,1.7386101040491158e-15
0.0013320240480961924,1.7475006185657842e-15
0.0013473346693386773,1.7560405830942757e-15
0.0013626452905811624,1.7642282845110395e-15
0.0013779559118236473,1.7720620803567802e-15
0.0013932665330661322,1.779540399165936e-15
0.0014085771543086174,1.7866617407819164e-15
0.0014238877755511023,1.7934246766580336e-15
0.0014391983967935872,1.799827850144073e-15
0.001454509018036072,1.805869976758434e-15
0.001469819639278557,1.8115498444458016e-15
0.0014851302605210421,1.8168663138202843e-15
0.0015004408817635272,1.821818318393975e-15
0.0015157515030060121,1.8264048647908913e-15
0.001531062124248497,1.8306250329462452e-15
0.001546372745490982,1.8344779762910113e-15
0.0015616833667334669,1.837962921921746e-15
0.001576993987975952,1.8410791707556357e-15
0.0015923046092184369,1.8438260976707325e-15
0.0016076152304609218,1.8462031516313523e-15
0.001622925851703407,1.8482098557986153e-15
0.0016382364729458918,1.8498458076260993e-15
0.0016535470941883767,1.8511106789405903e-15
0.0016688577154308618,1.8520042160079155e-15
0.0016841683366733467,1.8525262395838416e-15
0.0016994789579158317,1.8526766449500318e-15
0.0017147895791583166,1.8524554019350523e-15
0.0017301002004008015,1.851862554920425e-15
0.0017454108216432866,1.8508982228317228e-15
0.0017607214428857717,1.849562599114716e-15
0.0017760320641282566,1.8478559516965656e-15
0.0017913426853707415,1.8457786229320745e-15
0.0018066533066132264,1.843331029535015e-15
0.0018219639278557113,1.8405136624945337e-15
0.0018372745490981965,1.8373270869766574e-15
0.0018525851703406814,1.8337719422109226e-15
0.0018678957915831665,1.8298489413621444e-15
0.0018832064128256514,1.8255588713873553e-15
0.0018985170340681363,1.8209025928779413e-15
0.0019138276553106212,1.8158810398870064e-15
0.0019291382765531063,1.8104952197419993e-15
0.0019444488977955912,1.8047462128426464e-15
0.001959759519038076,1.7986351724442185e-15
0.0019750701402805612,1.79216332442619e-15
0.001990380761523046,1.7853319670463255e-15
0.002005691382765531,1.778142470680248e-15
0.002021002004008016,1.7705962775465401e-15
0.002036312625250501,1.7626949014174355e-15
0.002051623246492986,1.7544399273151531e-15
0.002066933867735471,1.7458330111939418e-15
0.002082244488977956,1.7368758796078942e-15
0.002097555110220441,1.727570329364598e-15
0.0021128657314629256,1.7179182271646957e-15
0.0021281763527054107,1.7079215092274238e-15
0.002143486973947896,1.6975821809022033e-15
0.0021587975951903805,1.6869023162663673e-15
0.0021741082164328657,1.6758840577090984e-15
0.0021894188376753504,1.6645296155016636e-15
0.002204729458917836,1.652841267354034e-15
0.002220040080160321,1.6408213579579709e-15
0.0022353507014028057,1.628472298516682e-15
0.002250661322645291,1.615796566261131e-15
0.0022659719438877755,1.6027967039531034e-15
0.0022812825651302607,1.5894753193751247e-15
0.0022965931863727453,1.5758350848073415e-15
0.0023119038076152305,1.5618787364914542e-15
0.0023272144288577156,1.54760907408183e-15
0.0023425250501002003,1.5330289600838867e-15
0.0023578356713426854,1.518141319279874e-15
0.00237314629258517,1.5029491381421575e-15
0.002388456913827655,1.4874554642341335e-15
0.0024037675350701403,1.4716634055988812e-15
0.002419078156312625,1.4555761301356914e-15
0.00243438877755511,1.4391968649645781e-15
0.0024496993987975953,1.4225288957789215e-15
0.0024650100200400804,1.4055755661863502e-15
0.0024803206412825655,1.3883402770380152e-15
0.00249563126252505,1.3708264857463725e-15
0.0025109418837675353,1.3530377055916272e-15
0.00252625250501002,1.3349775050169634e-15
0.002541563126252505,1.3166495069127145e-15
0.0025568737474949903,1.2980573878896077e-15
0.002572184368737475,1.2792048775412307e-15
0.00258749498997996,1.2600957576958768e-15
0.0026028056112224448,1.240733861657902e-15
0.00261811623246493,1.221123073438767e-15
0.0026334268537074146,1.2012673269778953e-15
0.0026487374749498997,1.1811706053535283e-15
0.002664048096192385,1.1608369399837083e-15
0.0026793587174348695,1.140270409817583e-15
0.0026946693386773546,1.1194751405171568e-15
0.0027099799599198397,1.0984553036296853e-15
0.002725290581162325,1.0772151157508548e-15
0.00274060120240481,1.0557588376789348e-15
0.0027559118236472947,1.0340907735600544e-15
0.00277122244488978,1.012215270024791e-15
0.0027865330661322645,9.90136715316228e-16
0.0028018436873747496,9.678595384096757e-16
0.0028171543086172347,9.453882081242115e-16
0.0028324649298597194,9.227272322262302e-16
0.0028477755511022045,8.998811565251874e-16
0.0028630861723446892,8.768545639617008e-16
0.0028783967935871744,8.536520736882147e-16
0.002893707414829659,8.302783401423884e-16
0.002909018036072144,8.0673805211341795e-16
0.0029243286573146293,7.830359318014558e-16
0.002939639278557114,7.591767338703402e-16
0.002954949899799599,7.351652444937987e-16
0.0029702605210420842,7.110062803953452e-16
0.0029855711422845693,6.867046878820346e-16
0.0030008817635270545,6.622653418722965e-16
0.003016192384769539,6.376931449180162e-16
0.0030315030060120243,6.12993026221085e-16
0.003046813627254509,5.881699406445928e-16
0.003062124248496994,5.632288677188849e-16
0.003077434869739479,5.381748106426573e-16
0.003092745490981964,5.130127952793175e-16
0.003108056112224449,4.877478691487895e-16
0.0031233667334669337,4.6238510041497525e-16
0.003138677354709419,4.369295768690823e-16
0.003153987975951904,4.1138640490900304e-16
0.0031692985971943886,3.8576070851497304e-16
0.0031846092184368738,3.600576282216907e-16
0.0031999198396793584,3.3428232008712826e-16
0.0032152304609218436,3.0843995465821585e-16
0.0032305410821643287,2.8253571593363284e-16
0.003245851703406814,2.565748003238862e-16
0.003261162324649299,2.3056241560891414e-16
0.0032764729458917836,2.0450377989339388e-16
0.0032917835671342687,1.7840412055999295e-16
0.0033070941883767534,1.522686732207452e-16
0.0033224048096192386,1.261026806667898e-16
0.0033377154308617237,9.991139181665658e-17
0.0033530260521042084,7.370006066333523e-17
0.0033683366733466935,4.747394522031402e-17
0.003383647294589178,2.1238306466823613e-17
0.0033989579158316633,-5.001592707520937e-18
0.0034142685370741484,-3.124048855846578e-17
0.003429579158316633,-5.747311754301876e-17
0.0034448897795591182,-8.369421737533013e-17
0.003460200400801603,-1.0989852808230377e-16
0.003475511022044088,-1.3608079305875853e-16
0.003490821643286573,-1.622357601219007e-16
0.0035061322645290583,-1.8835818256492259e-16
0.0035214428857715434,-2.1444282020948938e-16
0.003536753507014028,-2.404844404569297e-16
0.0035520641282565132,-2.664778193378922e-16
0.003567374749498998,-2.924177425602848e-16
0.003582685370741483,-3.182990065552587e-16
0.003597995991983968,-3.441164195210554e-16
0.003613306613226453,-3.698648024644793e-16
0.003628617234468938,-3.9553899023981445e-16
0.0036439278557114227,-4.211338325849512e-16
0.0036592384769539078,-4.46644195154535e-16
0.003674549098196393,-4.720649605499229e-16
0.0036898597194388776,-4.973910293457314e-16
0.0037051703406813627,-5.226173211127921e-16
0.0037204809619238474,-5.477387754372838e-16
0.003735791583166333,-5.727503529358606e-16
0.003751102204408818,-5.976470362665508e-16
0.0037664128256513028,-6.224238311352456e-16
0.003781723446893788,-6.470757672975519e-16
0.0037970340681362726,-6.715978995558343e-16
0.0038123446893787577,-6.959853087512181e-16
0.0038276553106212424,-7.202331027503833e-16
0.0038429659318637275,-7.443364174269249e-16
0.0038582765531062126,-7.682904176371048e-16
0.0038735871743486973,-7.920902981897814e-16
0.0038888977955911824,-8.15731284810339e-16
0.003904208416833667,-8.39208635098406e-16
0.003919519038076152,-8.625176394791897e-16
0.003934829659318638,-8.856536221482158e-16
0.0039501402805611225,-9.086119420093001e-16
0.003965450901803607,-9.313879936055589e-16
0.003980761523046092,-9.539772080432616e-16
0.003996072144288577,-9.7637505390836e-16
0.004011382765531062,-9.985770381754893e-16
0.004026693386773548,-1.0205787071092754e-15
0.004042004008016032,-1.0423756471577547e-15
0.004057314629258517,-1.06396348583774e-15
0.004072625250501002,-1.0853378926119395e-15
0.004087935871743487,-1.106494579757671e-15
0.004103246492985972,-1.1274293032269765e-15
0.004118557114228457,-1.1481378634979883e-15
0.004133867735470942,-1.1686161064173493e-15
0.004149178356713427,-1.1888599240335456e-15
