# time	centerY	horizontalAxis	verticalAxis	xMax	yMin	yMax	weightedVolume	selectedCells
0.0001	0.00400077537804	0.000980117606146	0.00161085941297	0.000980117606146	0.00321690804402	0.00482776745699	1.11484532448e-11	13
0.0002	0.00400031745492	0.000982634983341	0.00161085941297	0.000982634983341	0.00321690804402	0.00482776745699	1.11484532448e-11	13
0.0003	0.00399959297722	0.000986502249635	0.00161085941297	0.000986502249635	0.00321690804402	0.00482776745699	1.11484532448e-11	13
0.0004	0.00399864183201	0.000991466040029	0.00161085941297	0.000991466040029	0.00321690804402	0.00482776745699	1.11484532448e-11	13
0.0005	0.00399751247328	0.00099735278544	0.00161085941297	0.00099735278544	0.00321690804402	0.00482776745699	1.11484532448e-11	13
0.0006	0.0039962316101	0.00100409451064	0.00161085941297	0.00100409451064	0.00321690804402	0.00482776745699	1.11484532448e-11	13
0.0007	0.00399480492107	0.00101169252387	0.00161085941297	0.00101169252387	0.00321690804402	0.00482776745699	1.11484532448e-11	12
0.0008	0.00399322485631	0.0010201610795	0.00161085941297	0.0010201610795	0.00321690804402	0.00482776745699	1.11484532448e-11	12
0.0009	0.00399149570518	0.00102950195312	0.00161085941297	0.00102950195312	0.00321690804402	0.00482776745699	1.11484532448e-11	12
0.001	0.00398961636493	0.00103969468025	0.00161085941297	0.00103969468025	0.00321690804402	0.00482776745699	1.11484532448e-11	12
0.0011	0.00398758644967	0.00105069816947	0.00161085941297	0.00105069816947	0.00321690804402	0.00482776745699	1.11484532448e-11	12
0.0012	0.00398540783022	0.00106245685685	0.00161085941297	0.00106245685685	0.00321690804402	0.00482776745699	1.11484532448e-11	11
0.0013	0.00398308280713	0.00107490369541	0.0012061830348	0.00107490369541	0.00321690804402	0.00442309107883	1.11484532448e-11	10
0.0014	0.00398061507318	0.00108796392428	0.0012061830348	0.00108796392428	0.00321690804402	0.00442309107883	1.11484532448e-11	10
0.0015	0.0039780202329	0.00110155248312	0.0012061830348	0.00110155248312	0.00321690804402	0.00442309107883	1.11484532448e-11	10
0.0016	0.00397530708112	0.00111559842307	0.0012061830348	0.00111559842307	0.00321690804402	0.00442309107883	1.11484532448e-11	10
0.0017	0.00397246013096	0.00113000091379	0.000804059165105	0.00113000091379	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0018	0.00396951819315	0.001144498222	0.000804059165105	0.001144498222	0.00361903191372	0.00442309107883	1.11484532448e-11	10
0.0019	0.00396653154732	0.00115906999768	0.000804059165105	0.00115906999768	0.00361903191372	0.00442309107883	1.11484532448e-11	10
0.002	0.00396344707723	0.00117370247537	0.000804059165105	0.00117370247537	0.00361903191372	0.00442309107883	1.11484532448e-11	10
0.0021	0.00396023695093	0.00118841113696	0.000804059165105	0.00118841113696	0.00361903191372	0.00442309107883	1.11484532448e-11	10
0.0022	0.00395694523131	0.00120311589513	0.000804059165105	0.00120311589513	0.00361903191372	0.00442309107883	1.11484532448e-11	10
0.0023	0.00395363467854	0.00121776082213	0.000804059165105	0.00121776082213	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0024	0.00395034287023	0.00123231783274	0.000804059165105	0.00123231783274	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0025	0.0039471374656	0.00124676962947	0.000804059165105	0.00124676962947	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0026	0.00394410046403	0.00131580258681	0.000804059165105	0.00131580258681	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0027	0.00394113758054	0.00132347443444	0.000804059165105	0.00132347443444	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0028	0.00393801885538	0.00133068017268	0.000804059165105	0.00133068017268	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0029	0.00393479760091	0.00133711023664	0.000804059165105	0.00133711023664	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.003	0.0039316324367	0.00134572531497	0.000804059165105	0.00134572531497	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0031	0.00392867726227	0.00135441998515	0.000804059165105	0.00135441998515	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0032	0.0039258682263	0.00136296750968	0.000804059165105	0.00136296750968	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0033	0.00392320932534	0.00137252791749	0.000804059165105	0.00137252791749	0.00361903191372	0.00442309107883	1.11484532448e-11	9
0.0034	0.00392073055805	0.00138578688519	0.000804059165105	0.00138578688519	0.00361903191372	0.00442309107883	1.11484532448e-11	8
0.0035	0.00391848409819	0.00139915578069	0.000804059165105	0.00139915578069	0.00361903191372	0.00442309107883	1.11484532448e-11	8
0.0036	0.00391652126622	0.00141248860269	0.000804059165105	0.00141248860269	0.00361903191372	0.00442309107883	1.11484532448e-11	8
0.0037	0.00391492579789	0.00142564096658	0.00040192981948	0.00142564096658	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0038	0.00391370883945	0.00143871797914	0.00040192981948	0.00143871797914	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0039	0.00391267870291	0.00145157464018	0.00040192981948	0.00145157464018	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.004	0.0039117198855	0.00146389274194	0.00040192981948	0.00146389274194	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0041	0.00391080395005	0.00147570484349	0.00040192981948	0.00147570484349	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0042	0.0039099856267	0.00148702560722	0.00040192981948	0.00148702560722	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0043	0.00390928201855	0.001497826119	0.00040192981948	0.001497826119	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0044	0.00390865948581	0.00150807298666	0.00040192981948	0.00150807298666	0.00361903191372	0.0040209617332	1.11484532448e-11	7
0.0045	0.00390808034161	0.00151772789486	0.00040192981948	0.00151772789486	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.0046	0.00390749977198	0.00152688962154	0.00040192981948	0.00152688962154	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.0047	0.00390668021212	0.00153626767906	0.00040192981948	0.00153626767906	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.0048	0.00390548014523	0.00154552164487	0.00040192981948	0.00154552164487	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.0049	0.0039038478388	0.00171407547598	0.00040192981948	0.00171407547598	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.005	0.00390078888467	0.00173514325681	0.00040192981948	0.00173514325681	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.0051	0.00389680072376	0.00174861479399	0.00040192981948	0.00174861479399	0.00361903191372	0.0040209617332	1.11484532448e-11	8
0.0052	0.00389148125234	0.00176125877147	0.00040192981948	0.00176125877147	0.00361903191372	0.0040209617332	1.11484532448e-11	8
