x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,9.701201925054192543e-04,8.814842253923416138e-02,8.815375715494155884e-02,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,9.645501850172877312e-04,4.941745400428771973e-01,4.941754937171936035e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,9.479853324592113495e-04,9.275407791137695312e-01,9.275411963462829590e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,9.206134127452969551e-04,1.350345373153686523e+00,1.350345730781555176e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,8.826738339848816395e-04,1.757650494575500488e+00,1.757650732994079590e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,8.346698596142232418e-04,2.144900321960449219e+00,2.144900321960449219e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,7.771499804221093655e-04,2.507708787918090820e+00,2.507708787918090820e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,7.107123965397477150e-04,2.841743946075439453e+00,2.841743946075439453e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,6.361689302138984203e-04,3.143352031707763672e+00,3.143352031707763672e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,5.543719744309782982e-04,3.409133672714233398e+00,3.409133672714233398e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,4.662157152779400349e-04,3.635812997817993164e+00,3.635812997817993164e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,3.727414296008646488e-04,3.820994377136230469e+00,3.820994377136230469e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,2.750162675511091948e-04,3.962622404098510742e+00,3.962622404098510742e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,1.741369778756052256e-04,4.058815479278564453e+00,4.058815479278564453e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,7.127241406124085188e-05,4.108669281005859375e+00,4.108669281005859375e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.240638034185394645e-05,4.111687660217285156e+00,4.111687660217285156e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.357146102236583829e-04,4.067578792572021484e+00,4.067578792572021484e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.374703180976212025e-04,3.977016687393188477e+00,3.977016687393188477e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.365204902365803719e-04,3.841117858886718750e+00,3.841117858886718750e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-4.317158600315451622e-04,3.661207914352416992e+00,3.661207914352416992e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-5.219770246185362339e-04,3.439472913742065430e+00,3.439472913742065430e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-6.062887259759008884e-04,3.178528070449829102e+00,3.178528070449829102e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-6.836573011241853237e-04,2.881175756454467773e+00,2.881175756454467773e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-7.532107410952448845e-04,2.550900459289550781e+00,2.550900459289550781e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-8.141786092892289162e-04,2.191543817520141602e+00,2.191543817520141602e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
7.297748234122991562e-03,-8.658258011564612389e-04,1.807090759277343750e+00,1.807090997695922852e+00,-1.006412138223129055e-03,1.806048760293331501e+00,1.806049040702514041e+00
7.589658256620168686e-03,-9.075726266019046307e-04,1.401984453201293945e+00,1.401984810829162598e+00,-1.058956256523529852e-03,1.400896140662178935e+00,1.400896540901768850e+00
7.881567813456058502e-03,-9.389737970195710659e-04,9.808955192565917969e-01,9.808959960937500000e-01,-1.095259664824362999e-03,9.797299798232843582e-01,9.797305920293938319e-01
8.173477835953235626e-03,-9.596291347406804562e-04,5.485727787017822266e-01,5.485736131668090820e-01,-1.117707295513693279e-03,5.473607191754927825e-01,5.473618603500897128e-01
8.465387858450412750e-03,-9.693081956356763840e-04,1.099846437573432922e-01,1.099889203906059265e-01,-1.128607074927602321e-03,1.087364249595847987e-01,1.087422818728804863e-01
8.757297880947589874e-03,-9.679378126747906208e-04,-3.298590481281280518e-01,3.298604488372802734e-01,-1.126710887119101653e-03,-3.311142841978850782e-01,3.311162011700741203e-01
9.049207903444766998e-03,-9.554936550557613373e-04,-7.659362554550170898e-01,7.659367918968200684e-01,-1.111019369067358037e-03,-7.671893145313863904e-01,7.671901190025697259e-01
9.341117925941944122e-03,-9.321170509792864323e-04,-1.193241238594055176e+00,1.193241477012634277e+00,-1.084691377685273288e-03,-1.194505681896618432e+00,1.194506174382824248e+00
9.633027948439121246e-03,-8.981148712337017059e-04,-1.606944799423217773e+00,1.606945037841796875e+00,-1.047031159025147784e-03,-1.608173025177023652e+00,1.608173366021607542e+00
9.924937039613723755e-03,-8.538411348126828671e-04,-2.002276897430419922e+00,2.002277135848999023e+00,-9.916313527493878389e-04,-2.003449061133100173e+00,2.003449306543052977e+00
1.021684706211090088e-02,-7.997948559932410717e-04,-2.374684810638427734e+00,2.374684810638427734e+00,-9.311481242510482757e-04,-2.375847590741040793e+00,2.375847773209983416e+00
1.050875708460807800e-02,-7.366315694525837898e-04,-2.720022678375244141e+00,2.720022678375244141e+00,-8.563424061689020681e-04,-2.721091542697642307e+00,2.721091677445460544e+00
1.080066710710525513e-02,-6.650459836237132549e-04,-3.034270524978637695e+00,3.034270524978637695e+00,-7.655398725390319967e-04,-3.035237532426919405e+00,3.035237628968175283e+00
1.109257712960243225e-02,-5.858460790477693081e-04,-3.313771486282348633e+00,3.313771486282348633e+00,-6.768902774433000835e-04,-3.314712406146266055e+00,3.314712475259418145e+00
1.138448715209960938e-02,-4.999685334041714668e-04,-3.555495738983154297e+00,3.555495738983154297e+00,-5.816037651376515689e-04,-3.556310451766952596e+00,3.556310499325081143e+00
1.167639717459678650e-02,-4.083758685737848282e-04,-3.756592750549316406e+00,3.756592750549316406e+00,-4.730323562481789806e-04,-3.757267503816474452e+00,3.757267533593380726e+00
1.196830719709396362e-02,-3.121062181890010834e-04,-3.914657354354858398e+00,3.914657354354858398e+00,-3.665318231999654605e-04,-3.915295087377325345e+00,3.915295104533832227e+00
1.226021721959114075e-02,-2.122798032360151410e-04,-4.028095722198486328e+00,4.028095722198486328e+00,-2.406870103602292571e-04,-4.028579849296582971e+00,4.028579856486491195e+00
1.255212631076574326e-02,-1.100266745197586715e-04,-4.095521450042724609e+00,4.095521450042724609e+00,-1.273717152792372995e-04,-4.095835363383677930e+00,4.095835365364171032e+00
1.284403633326292038e-02,-6.513159405585611239e-06,-4.116016387939453125e+00,4.116016387939453125e+00,-4.881147031279540123e-06,-4.116288497515796507e+00,4.116288497518690193e+00
1.313594635576009750e-02,9.707309072837233543e-05,-4.089591503143310547e+00,4.089591503143310547e+00,1.254442623399957830e-04,-4.089707896966111811e+00,4.089707898889997750e+00
1.342785637825727463e-02,1.995531638385728002e-04,-4.016465663909912109e+00,4.016465663909912109e+00,2.388484416363068714e-04,-4.016394925389410453e+00,4.016394932491373027e+00
1.371976640075445175e-02,2.997451229020953178e-04,-3.897298336029052734e+00,3.897298336029052734e+00,3.497126349780770244e-04,-3.897187099127072951e+00,3.897187114817739051e+00
1.401167642325162888e-02,3.965182695537805557e-04,-3.733707189559936523e+00,3.733707189559936523e+00,4.642297191466717679e-04,-3.733449673162590354e+00,3.733449702024534744e+00
1.430358644574880600e-02,4.887678660452365875e-04,-3.527491092681884766e+00,3.527491092681884766e+00,5.731965009605735802e-04,-3.527052602811514781e+00,3.527052649387830030e+00
1.459549646824598312e-02,5.754118901677429676e-04,-3.280824422836303711e+00,3.280824422836303711e+00,6.754423217153606796e-04,-3.280353763408343504e+00,3.280353832946929504e+00
1.488740649074316025e-02,6.554946885444223881e-04,-2.996764659881591797e+00,2.996764659881591797e+00,7.645626610054848202e-04,-2.996165976999314307e+00,2.996166074549993841e+00
1.517931651324033737e-02,7.281001890078186989e-04,-2.678500890731811523e+00,2.678500890731811523e+00,8.503430225157130760e-04,-2.677748131023077516e+00,2.677748266040114622e+00
1.547122560441493988e-02,7.923525990918278694e-04,-2.329512357711791992e+00,2.329512357711791992e+00,9.252571202657758212e-04,-2.328733841254422288e+00,2.328734025066906632e+00
1.576313562691211700e-02,8.475712966173887253e-04,-1.953977346420288086e+00,1.953977584838867188e+00,9.901929002936330285e-04,-1.953109630825021314e+00,1.953109881830366934e+00
1.605504564940929413e-02,8.931237971410155296e-04,-1.556143403053283691e+00,1.556143641471862793e+00,1.040321935472544347e-03,-1.555161097498569678e+00,1.555161445459179781e+00
1.634695567190647125e-02,9.284268016926944256e-04,-1.140450119972229004e+00,1.140450477600097656e+00,1.081842597837792685e-03,-1.139449546375419065e+00,1.139450059949340011e+00
1.663886569440364838e-02,9.531453251838684082e-04,-7.117695212364196777e-01,7.117701172828674316e-01,1.110923565980910131e-03,-7.107171060465162782e-01,7.107179742895943786e-01
1.693077571690082550e-02,9.669967112131416798e-04,-2.749605774879455566e-01,2.749622762203216553e-01,1.126524663728454417e-03,-2.738646078196185774e-01,2.738669247536318907e-01
1.722268573939800262e-02,9.697465575300157070e-04,1.650073230266571045e-01,1.650101691484451294e-01,1.129348130287384250e-03,1.661249676874304027e-01,1.661288064013859422e-01
1.751459576189517975e-02,9.614420705474913120e-04,6.030789017677307129e-01,6.030796170234680176e-01,1.120200509070341886e-03,6.042163438042572610e-01,6.042173822138561246e-01
1.780650578439235687e-02,9.421773138456046581e-04,1.034288644790649414e+00,1.034289002418518066e+00,1.095649709632263080e-03,1.035388020321829972e+00,1.035388600031043715e+00
1.809841580688953400e-02,9.120947215706110001e-04,1.453625917434692383e+00,1.453626036643981934e+00,1.059475581196846986e-03,1.454736787217131289e+00,1.454737173021755314e+00
1.839032582938671112e-02,8.716146694496273994e-04,1.856375694274902344e+00,1.856375932693481445e+00,1.014179516226581266e-03,1.857470213631177369e+00,1.857470490502377336e+00
1.868223585188388824e-02,8.211976964958012104e-04,2.237974405288696289e+00,2.237974405288696289e+00,9.586559245963633281e-04,2.238978353484239570e+00,2.238978558716491651e+00
1.897414587438106537e-02,7.613550405949354172e-04,2.593890428543090820e+00,2.593890428543090820e+00,8.823658711416415426e-04,2.594890733511296066e+00,2.594890883531005610e+00
1.926605589687824249e-02,6.928312359377741814e-04,2.920210599899291992e+00,2.920210599899291992e+00,8.006787296190423552e-04,2.921158415630326743e+00,2.921158525361865266e+00
