x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.128625706769526005e-03,1.558062732219696045e-01,1.558103561401367188e-01,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.121965120546519756e-03,4.769316911697387695e-01,4.769330024719238281e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.102548325434327126e-03,9.102939367294311523e-01,9.102945923805236816e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.070597907528281212e-03,1.333209753036499023e+00,1.333210110664367676e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.026475452817976475e-03,1.740923404693603516e+00,1.740923643112182617e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.706781711429357529e-04,2.128847837448120117e+00,2.128848075866699219e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,9.038325515575706959e-04,2.492616891860961914e+00,2.492616891860961914e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.266881341114640236e-04,2.828130722045898438e+00,2.828130722045898438e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.399781607091426849e-04,3.131045103073120117e+00,3.131045103073120117e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.446784245781600475e-04,3.397515058517456055e+00,3.397515058517456055e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.420752568170428276e-04,3.625272512435913086e+00,3.625272512435913086e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.333250108174979687e-04,3.811765193939208984e+00,3.811765193939208984e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.196519101038575172e-04,3.954900741577148438e+00,3.954900741577148438e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.023347478825598955e-04,4.053067207336425781e+00,4.053067207336425781e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.269319368992000818e-05,4.105153560638427734e+00,4.105153560638427734e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.792720235651358962e-05,4.110559463500976562e+00,4.110559463500976562e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.581106189405545592e-04,4.067759513854980469e+00,4.067759513854980469e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.764497185125946999e-04,3.978404521942138672e+00,3.978404521942138672e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.916167479474097490e-04,3.843829631805419922e+00,3.843829631805419922e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.023166886530816555e-04,3.665558338165283203e+00,3.665558338165283203e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.073043914511799812e-04,3.445599317550659180e+00,3.445599317550659180e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.053980953060090542e-04,3.186424016952514648e+00,3.186424016952514648e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-7.954923785291612148e-04,2.890941858291625977e+00,2.890941858291625977e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-8.764818776398897171e-04,2.562205076217651367e+00,2.562205076217651367e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-9.472080273553729057e-04,2.203512430191040039e+00,2.203512668609619141e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
7.297748234122991562e-03,-1.007140846922993660e-03,1.819875240325927734e+00,1.819875478744506836e+00,-1.006412138223129055e-03,1.806048760293331501e+00,1.806049040702514041e+00
7.589658256620168686e-03,-1.055609202012419701e-03,1.415615439414978027e+00,1.415615797042846680e+00,-1.058956256523529852e-03,1.400896140662178935e+00,1.400896540901768850e+00
7.881567813456058502e-03,-1.092069549486041069e-03,9.952849149703979492e-01,9.952855110168457031e-01,-1.095259664824362999e-03,9.797299798232843582e-01,9.797305920293938319e-01
8.173477835953235626e-03,-1.116111758165061474e-03,5.636115670204162598e-01,5.636126399040222168e-01,-1.117707295513693279e-03,5.473607191754927825e-01,5.473618603500897128e-01
8.465387858450412750e-03,-1.127463765442371368e-03,1.254534423351287842e-01,1.254585087299346924e-01,-1.128607074927602321e-03,1.087364249595847987e-01,1.087422818728804863e-01
8.757297880947589874e-03,-1.125994371250271797e-03,-3.142634332180023193e-01,3.142654597759246826e-01,-1.126710887119101653e-03,-3.311142841978850782e-01,3.311162011700741203e-01
9.049207903444766998e-03,-1.111404853872954845e-03,-7.503747344017028809e-01,7.503755688667297363e-01,-1.111019369067358037e-03,-7.671893145313863904e-01,7.671901190025697259e-01
9.341117925941944122e-03,-1.084010582417249680e-03,-1.177738308906555176e+00,1.177738785743713379e+00,-1.084691377685273288e-03,-1.194505681896618432e+00,1.194506174382824248e+00
9.633027948439121246e-03,-1.044296426698565483e-03,-1.591598033905029297e+00,1.591598391532897949e+00,-1.047031159025147784e-03,-1.608173025177023652e+00,1.608173366021607542e+00
9.924937039613723755e-03,-9.927122155204415321e-04,-1.987299203872680664e+00,1.987299442291259766e+00,-9.916313527493878389e-04,-2.003449061133100173e+00,2.003449306543052977e+00
