x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.129578682594001293e-03,8.484482020139694214e-02,8.485233783721923828e-02,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.123096211813390255e-03,4.944069385528564453e-01,4.944081902503967285e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.103831804357469082e-03,9.277923107147216797e-01,9.277929663658142090e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.071910257451236248e-03,1.350539207458496094e+00,1.350539565086364746e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.027777325361967087e-03,1.757898926734924316e+00,1.757899165153503418e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.718707879073917866e-04,2.145121335983276367e+00,2.145121574401855469e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,9.048819774761795998e-04,2.507880926132202148e+00,2.507880926132202148e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.275372092612087727e-04,2.841939687728881836e+00,2.841939687728881836e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.407469092868268490e-04,3.143558979034423828e+00,3.143558979034423828e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.454873364418745041e-04,3.409236907958984375e+00,3.409236907958984375e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.428528529591858387e-04,3.635963201522827148e+00,3.635963201522827148e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.340176528785377741e-04,3.821158170700073242e+00,3.821158170700073242e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.202188818249851465e-04,3.962653160095214844e+00,3.962653160095214844e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.027658047154545784e-04,4.058928966522216797e+00,4.058928966522216797e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.299152977997437119e-05,4.108741283416748047e+00,4.108741283416748047e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.772912896238267422e-05,4.111712455749511719e+00,4.111712455749511719e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.580174721311777830e-04,4.067569732666015625e+00,4.067569732666015625e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.765065873973071575e-04,3.977100372314453125e+00,3.977100372314453125e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.918243455700576305e-04,3.841015338897705078e+00,3.841015338897705078e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.026831058785319328e-04,3.661214828491210938e+00,3.661214828491210938e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.077736034058034420e-04,3.439403772354125977e+00,3.439403772354125977e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.059446070343255997e-04,3.178438663482666016e+00,3.178438663482666016e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-7.960231159813702106e-04,2.881038188934326172e+00,2.881038188934326172e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-8.770304266363382339e-04,2.550808429718017578e+00,2.550808429718017578e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-9.479937143623828888e-04,2.191365003585815430e+00,2.191365242004394531e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
