x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.129593933001160622e-03,8.808282017707824707e-02,8.809006214141845703e-02,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.123108319006860256e-03,4.941093027591705322e-01,4.941105544567108154e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.103820279240608215e-03,9.274766445159912109e-01,9.274773001670837402e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.071948907338082790e-03,1.350283145904541016e+00,1.350283503532409668e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.027772552333772182e-03,1.757590770721435547e+00,1.757591009140014648e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.718775399960577488e-04,2.144844055175781250e+00,2.144844293594360352e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,9.049021755345165730e-04,2.507656335830688477e+00,2.507656335830688477e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.275432046502828598e-04,2.841695785522460938e+00,2.841695785522460938e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.407458615489304066e-04,3.143308877944946289e+00,3.143308877944946289e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.455027614720165730e-04,3.409096240997314453e+00,3.409096240997314453e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.428548320196568966e-04,3.635781764984130859e+00,3.635781764984130859e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.340147133916616440e-04,3.820969343185424805e+00,3.820969343185424805e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.202249354217201471e-04,3.962603807449340820e+00,3.962603807449340820e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.027625887421891093e-04,4.058803558349609375e+00,4.058803558349609375e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.298857574118301272e-05,4.108664512634277344e+00,4.108664512634277344e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.773352000280283391e-05,4.111690044403076172e+00,4.111690044403076172e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.580241223564371467e-04,4.067587375640869141e+00,4.067587375640869141e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.765070239547640085e-04,3.977032661437988281e+00,3.977032661437988281e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.918395377695560455e-04,3.841140747070312500e+00,3.841140747070312500e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.026837461628019810e-04,3.661237001419067383e+00,3.661237001419067383e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.077824509702622890e-04,3.439508438110351562e+00,3.439508438110351562e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.059538620524108410e-04,3.178569078445434570e+00,3.178569078445434570e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-7.960406364873051643e-04,2.881222009658813477e+00,2.881222009658813477e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-8.770276908762753010e-04,2.550951242446899414e+00,2.550951242446899414e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-9.480178123340010643e-04,2.191598892211914062e+00,2.191599130630493164e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
7.297748234122991562e-03,-1.008155057206749916e-03,1.807149291038513184e+00,1.807149529457092285e+00,-1.006412138223129055e-03,1.806048760293331501e+00,1.806049040702514041e+00
7.589658256620168686e-03,-1.056764391250908375e-03,1.402045845985412598e+00,1.402046203613281250e+00,-1.058956256523529852e-03,1.400896140662178935e+00,1.400896540901768850e+00
7.881567813456058502e-03,-1.093327533453702927e-03,9.809589982032775879e-01,9.809595942497253418e-01,-1.095259664824362999e-03,9.797299798232843582e-01,9.797305920293938319e-01
8.173477835953235626e-03,-1.117378240451216698e-03,5.486376285552978516e-01,5.486387610435485840e-01,-1.117707295513693279e-03,5.473607191754927825e-01,5.473618603500897128e-01
8.465387858450412750e-03,-1.128648524172604084e-03,1.100501939654350281e-01,1.100559830665588379e-01,-1.128607074927602321e-03,1.087364249595847987e-01,1.087422818728804863e-01
8.757297880947589874e-03,-1.127052702941000462e-03,-3.297936022281646729e-01,3.297955393791198730e-01,-1.126710887119101653e-03,-3.311142841978850782e-01,3.311162011700741203e-01
9.049207903444766998e-03,-1.112562953494489193e-03,-7.658717036247253418e-01,7.658725380897521973e-01,-1.111019369067358037e-03,-7.671893145313863904e-01,7.671901190025697259e-01
9.341117925941944122e-03,-1.085343537852168083e-03,-1.193178296089172363e+00,1.193178772926330566e+00,-1.084691377685273288e-03,-1.194505681896618432e+00,1.194506174382824248e+00
9.633027948439121246e-03,-1.045751967467367649e-03,-1.606884002685546875e+00,1.606884360313415527e+00,-1.047031159025147784e-03,-1.608173025177023652e+00,1.608173366021607542e+00
9.924937039613723755e-03,-9.942002361640334129e-04,-2.002219200134277344e+00,2.002219438552856445e+00,-9.916313527493878389e-04,-2.003449061133100173e+00,2.003449306543052977e+00
1.021684706211090088e-02,-9.312695474363863468e-04,-2.374630928039550781e+00,2.374630928039550781e+00,-9.311481242510482757e-04,-2.375847590741040793e+00,2.375847773209983416e+00
1.050875708460807800e-02,-8.577231201343238354e-04,-2.719972610473632812e+00,2.719972610473632812e+00,-8.563424061689020681e-04,-2.721091542697642307e+00,2.721091677445460544e+00
1.080066710710525513e-02,-7.743699243292212486e-04,-3.034225702285766602e+00,3.034225702285766602e+00,-7.655398725390319967e-04,-3.035237532426919405e+00,3.035237628968175283e+00
1.109257712960243225e-02,-6.821507122367620468e-04,-3.313731908798217773e+00,3.313731908798217773e+00,-6.768902774433000835e-04,-3.314712406146266055e+00,3.314712475259418145e+00
1.138448715209960938e-02,-5.821561207994818687e-04,-3.555461883544921875e+00,3.555461883544921875e+00,-5.816037651376515689e-04,-3.556310451766952596e+00,3.556310499325081143e+00
1.167639717459678650e-02,-4.755069676320999861e-04,-3.756565093994140625e+00,3.756565093994140625e+00,-4.730323562481789806e-04,-3.757267503816474452e+00,3.757267533593380726e+00
1.196830719709396362e-02,-3.634119348134845495e-04,-3.914636373519897461e+00,3.914636373519897461e+00,-3.665318231999654605e-04,-3.915295087377325345e+00,3.915295104533832227e+00
