x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.129500335082411766e-03,8.808286488056182861e-02,8.809009939432144165e-02,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.123015186749398708e-03,4.941093325614929199e-01,4.941105842590332031e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.103728893212974072e-03,9.274767637252807617e-01,9.274774193763732910e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.071860082447528839e-03,1.350283265113830566e+00,1.350283622741699219e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.027687452733516693e-03,1.757590889930725098e+00,1.757591128349304199e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.717969805933535099e-04,2.144844055175781250e+00,2.144844293594360352e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,9.048271458595991135e-04,2.507656335830688477e+00,2.507656335830688477e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.274746360257267952e-04,2.841695785522460938e+00,2.841695785522460938e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.406845106743276119e-04,3.143308877944946289e+00,3.143308877944946289e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.454492686316370964e-04,3.409096240997314453e+00,3.409096240997314453e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.428098374977707863e-04,3.635781764984130859e+00,3.635781764984130859e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.339787410572171211e-04,3.820969343185424805e+00,3.820969343185424805e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.201984218321740627e-04,3.962603807449340820e+00,3.962603807449340820e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.027457812801003456e-04,4.058803558349609375e+00,4.058803558349609375e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.298169996123760939e-05,4.108664512634277344e+00,4.108664512634277344e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.773039497900754213e-05,4.111690044403076172e+00,4.111690044403076172e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.580110110808163881e-04,4.067587375640869141e+00,4.067587375640869141e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.764840901363641024e-04,3.977032661437988281e+00,3.977032661437988281e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.918070869985967875e-04,3.841140508651733398e+00,3.841140508651733398e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.026420694775879383e-04,3.661237001419067383e+00,3.661237001419067383e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.077320431359112263e-04,3.439508199691772461e+00,3.439508199691772461e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.058953051455318928e-04,3.178568840026855469e+00,3.178568840026855469e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-7.959746872074902058e-04,2.881222009658813477e+00,2.881222009658813477e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-8.769550477154552937e-04,2.550951242446899414e+00,2.550951242446899414e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-9.479392901994287968e-04,2.191598892211914062e+00,2.191599130630493164e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
7.297748234122991562e-03,-1.008071471005678177e-03,1.807149171829223633e+00,1.807149410247802734e+00,-1.006412138223129055e-03,1.806048760293331501e+00,1.806049040702514041e+00
7.589658256620168686e-03,-1.056676846928894520e-03,1.402045726776123047e+00,1.402046084403991699e+00,-1.058956256523529852e-03,1.400896140662178935e+00,1.400896540901768850e+00
7.881567813456058502e-03,-1.093236962333321571e-03,9.809589982032775879e-01,9.809595942497253418e-01,-1.095259664824362999e-03,9.797299798232843582e-01,9.797305920293938319e-01
