x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.115771941840648651e-03,8.808897435665130615e-02,8.809604495763778687e-02,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.109365606680512428e-03,4.941154420375823975e-01,4.941166937351226807e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.090313657186925411e-03,9.274827241897583008e-01,9.274833798408508301e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.058832276612520218e-03,1.350288987159729004e+00,1.350289344787597656e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.015196670778095722e-03,1.757596492767333984e+00,1.757596731185913086e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.599854238331317902e-04,2.144849300384521484e+00,2.144849538803100586e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,8.938295650295913219e-04,2.507661342620849609e+00,2.507661342620849609e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.174171671271324158e-04,2.841700315475463867e+00,2.841700315475463867e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.316818810068070889e-04,3.143313169479370117e+00,3.143313169479370117e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.376042147167026997e-04,3.409100055694580078e+00,3.409100055694580078e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.362122901715338230e-04,3.635784626007080078e+00,3.635784626007080078e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.287040210328996181e-04,3.820971727371215820e+00,3.820971727371215820e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.163066285196691751e-04,3.962605237960815430e+00,3.962605237960815430e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.002815308514982462e-04,4.058804512023925781e+00,4.058804512023925781e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.197310671675950289e-05,4.108664989471435547e+00,4.108664989471435547e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
