x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.129384851083159447e-03,1.108178347349166870e-01,1.108235791325569153e-01,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.122842542827129364e-03,4.908999204635620117e-01,4.909012019634246826e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.103534130379557610e-03,9.242572784423828125e-01,9.242579340934753418e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.071677543222904205e-03,1.347110629081726074e+00,1.347110986709594727e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.027584308758378029e-03,1.754623770713806152e+00,1.754624009132385254e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.716327767819166183e-04,2.141876220703125000e+00,2.141876459121704102e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,9.046381455846130848e-04,2.504742622375488281e+00,2.504742622375488281e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.273544372059404850e-04,2.839141368865966797e+00,2.839141368865966797e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.405845099128782749e-04,3.141027688980102539e+00,3.141027688980102539e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.453043315559625626e-04,3.406787157058715820e+00,3.406787157058715820e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.426923162303864956e-04,3.633794784545898438e+00,3.633794784545898438e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.339030710980296135e-04,3.819496393203735352e+00,3.819496393203735352e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.201173094566911459e-04,3.961268663406372070e+00,3.961268663406372070e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.026735310209915042e-04,4.057663440704345703e+00,4.057663440704345703e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.292923303088173270e-05,4.107918262481689453e+00,4.107918262481689453e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.776851735892705619e-05,4.111464977264404297e+00,4.111464977264404297e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.580327661940827966e-04,4.067534446716308594e+00,4.067534446716308594e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.764829841908067465e-04,3.977204561233520508e+00,3.977204561233520508e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.917884023394435644e-04,3.841652154922485352e+00,3.841652154922485352e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.026486469432711601e-04,3.662376403808593750e+00,3.662376403808593750e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.076880963519215584e-04,3.440693855285644531e+00,3.440693855285644531e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.058068877086043358e-04,3.179913282394409180e+00,3.179913282394409180e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
6.422018166631460190e-03,-7.959016365930438042e-04,2.882970571517944336e+00,2.882970571517944336e+00,-8.000502980927972577e-04,2.880429783178833691e+00,2.880429894287334314e+00
6.713928189128637314e-03,-8.769137784838676453e-04,2.553074598312377930e+00,2.553074598312377930e+00,-8.819177184308248877e-04,2.550076476394969038e+00,2.550076628896050135e+00
7.005838211625814438e-03,-9.478084975853562355e-04,2.193737030029296875e+00,2.193737268447875977e+00,-9.490552978088253157e-04,2.190578466437267835e+00,2.190578672023584694e+00
7.297748234122991562e-03,-1.007920480333268642e-03,1.809486031532287598e+00,1.809486269950866699e+00,-1.006412138223129055e-03,1.806048760293331501e+00,1.806049040702514041e+00
7.589658256620168686e-03,-1.056573935784399509e-03,1.404643774032592773e+00,1.404644131660461426e+00,-1.058956256523529852e-03,1.400896140662178935e+00,1.400896540901768850e+00
7.881567813456058502e-03,-1.093116472475230694e-03,9.836699366569519043e-01,9.836705327033996582e-01,-1.095259664824362999e-03,9.797299798232843582e-01,9.797305920293938319e-01
8.173477835953235626e-03,-1.117096282541751862e-03,5.514141321182250977e-01,5.514152646064758301e-01,-1.117707295513693279e-03,5.473607191754927825e-01,5.473618603500897128e-01
8.465387858450412750e-03,-1.128372969105839729e-03,1.129140332341194153e-01,1.129196733236312866e-01,-1.128607074927602321e-03,1.087364249595847987e-01,1.087422818728804863e-01
8.757297880947589874e-03,-1.126819639466702938e-03,-3.269004225730895996e-01,3.269023597240447998e-01,-1.126710887119101653e-03,-3.311142841978850782e-01,3.311162011700741203e-01
9.049207903444766998e-03,-1.112296711653470993e-03,-7.629708647727966309e-01,7.629716992378234863e-01,-1.111019369067358037e-03,-7.671893145313863904e-01,7.671901190025697259e-01
9.341117925941944122e-03,-1.085043186321854591e-03,-1.190274477005004883e+00,1.190274953842163086e+00,-1.084691377685273288e-03,-1.194505681896618432e+00,1.194506174382824248e+00
9.633027948439121246e-03,-1.045453012920916080e-03,-1.604032158851623535e+00,1.604032516479492188e+00,-1.047031159025147784e-03,-1.608173025177023652e+00,1.608173366021607542e+00
9.924937039613723755e-03,-9.939711308106780052e-04,-1.999586462974548340e+00,1.999586701393127441e+00,-9.916313527493878389e-04,-2.003449061133100173e+00,2.003449306543052977e+00
1.021684706211090088e-02,-9.310041787102818489e-04,-2.372046709060668945e+00,2.372046709060668945e+00,-9.311481242510482757e-04,-2.375847590741040793e+00,2.375847773209983416e+00
1.050875708460807800e-02,-8.574280072934925556e-04,-2.717423915863037109e+00,2.717423915863037109e+00,-8.563424061689020681e-04,-2.721091542697642307e+00,2.721091677445460544e+00
1.080066710710525513e-02,-7.741024019196629524e-04,-3.031901597976684570e+00,3.031901597976684570e+00,-7.655398725390319967e-04,-3.035237532426919405e+00,3.035237628968175283e+00
1.109257712960243225e-02,-6.819561240263283253e-04,-3.311897754669189453e+00,3.311897754669189453e+00,-6.768902774433000835e-04,-3.314712406146266055e+00,3.314712475259418145e+00
1.138448715209960938e-02,-5.819184007123112679e-04,-3.553561925888061523e+00,3.553561925888061523e+00,-5.816037651376515689e-04,-3.556310451766952596e+00,3.556310499325081143e+00
1.167639717459678650e-02,-4.752740496769547462e-04,-3.754797458648681641e+00,3.754797458648681641e+00,-4.730323562481789806e-04,-3.757267503816474452e+00,3.757267533593380726e+00
1.196830719709396362e-02,-3.632233419921249151e-04,-3.913341760635375977e+00,3.913341760635375977e+00,-3.665318231999654605e-04,-3.915295087377325345e+00,3.915295104533832227e+00
1.226021721959114075e-02,-2.470128529239445925e-04,-4.027178764343261719e+00,4.027178764343261719e+00,-2.406870103602292571e-04,-4.028579849296582971e+00,4.028579856486491195e+00
1.255212631076574326e-02,-1.279582938877865672e-04,-4.094583034515380859e+00,4.094583034515380859e+00,-1.273717152792372995e-04,-4.095835363383677930e+00,4.095835365364171032e+00
1.284403633326292038e-02,-7.457618266926147044e-06,-4.115426063537597656e+00,4.115426063537597656e+00,-4.881147031279540123e-06,-4.116288497515796507e+00,4.116288497518690193e+00
1.313594635576009750e-02,1.131331664510071278e-04,-4.089473247528076172e+00,4.089473247528076172e+00,1.254442623399957830e-04,-4.089707896966111811e+00,4.089707898889997750e+00
1.342785637825727463e-02,2.324333036085590720e-04,-4.016606330871582031e+00,4.016606330871582031e+00,2.388484416363068714e-04,-4.016394925389410453e+00,4.016394932491373027e+00
1.371976640075445175e-02,3.490578092169016600e-04,-3.897613048553466797e+00,3.897613048553466797e+00,3.497126349780770244e-04,-3.897187099127072951e+00,3.897187114817739051e+00
1.401167642325162888e-02,4.617072991095483303e-04,-3.734308958053588867e+00,3.734308958053588867e+00,4.642297191466717679e-04,-3.733449673162590354e+00,3.733449702024534744e+00
1.430358644574880600e-02,5.691141122952103615e-04,-3.528531074523925781e+00,3.528531074523925781e+00,5.731965009605735802e-04,-3.527052602811514781e+00,3.527052649387830030e+00
1.459549646824598312e-02,6.699716905131936073e-04,-3.282110691070556641e+00,3.282110691070556641e+00,6.754423217153606796e-04,-3.280353763408343504e+00,3.280353832946929504e+00
1.488740649074316025e-02,7.631568005308508873e-04,-2.998160362243652344e+00,2.998160362243652344e+00,7.645626610054848202e-04,-2.996165976999314307e+00,2.996166074549993841e+00
