x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,1.125847338698804379e-03,2.179643362760543823e-01,2.179672420024871826e-01,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,1.118954736739397049e-03,4.367248415946960449e-01,4.367262423038482666e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,1.099333399906754494e-03,8.549099564552307129e-01,8.549106717109680176e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,1.067215111106634140e-03,1.278595209121704102e+00,1.278595685958862305e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,1.022970187477767467e-03,1.687493443489074707e+00,1.687493681907653809e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,9.671040461398661137e-04,2.077009677886962891e+00,2.077009916305541992e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,9.002503938972949982e-04,2.442767620086669922e+00,2.442767620086669922e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,8.231651154346764088e-04,2.780656576156616211e+00,2.780656576156616211e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,7.367175421677529812e-04,3.086876869201660156e+00,3.086876869201660156e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,6.418813136406242847e-04,3.357981204986572266e+00,3.357981204986572266e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,5.397229106165468693e-04,3.590912818908691406e+00,3.590912818908691406e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,4.313909157644957304e-04,3.783038139343261719e+00,3.783038139343261719e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,3.181025967933237553e-04,3.932177066802978516e+00,3.932177066802978516e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,2.011314645642414689e-04,4.036625862121582031e+00,4.036625862121582031e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,8.179285214282572269e-05,4.095176219940185547e+00,4.095176219940185547e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-3.857066258206032217e-05,4.107131958007812500e+00,4.107131958007812500e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-1.584859273862093687e-04,4.069421768188476562e+00,4.069421768188476562e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-2.764929959084838629e-04,3.984802007675170898e+00,3.984802007675170898e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-3.912706451956182718e-04,3.854894399642944336e+00,3.854894399642944336e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-5.015290225856006145e-04,3.681194782257080078e+00,3.681194782257080078e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-6.060297600924968719e-04,3.465685367584228516e+00,3.465685367584228516e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-7.035988382995128632e-04,3.210811138153076172e+00,3.210811138153076172e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
