x_m,Pre_sim,Pim_sim,p_abs_sim,Pre_analytic,Pim_analytic,p_abs_analytic
0.000000000000000000e+00,2.885268477257341146e-04,8.830934017896652222e-02,8.830981701612472534e-02,1.129723497446448845e-03,5.655142116827019394e-02,5.656270424344791992e-02
2.919099351856857538e-04,2.868702576961368322e-04,4.943344891071319580e-01,4.943345487117767334e-01,1.123829236726053707e-03,4.955853036306491211e-01,4.955865778719557024e-01
5.838198703713715076e-04,2.819436485879123211e-04,9.276980161666870117e-01,9.276980161666870117e-01,1.102784334698604434e-03,9.289409104631966008e-01,9.289415650435076666e-01
8.757297764532268047e-04,2.738028706517070532e-04,1.350498080253601074e+00,1.350498080253601074e+00,1.072330761828443023e-03,1.351697202461735747e+00,1.351697627813315927e+00
1.167639740742743015e-03,2.625191409606486559e-04,1.757796883583068848e+00,1.757796883583068848e+00,1.024001254904483883e-03,1.758993647152161222e+00,1.758993945214204713e+00
1.459549646824598312e-03,2.482421114109456539e-04,2.145038843154907227e+00,2.145038843154907227e+00,9.703981034584875740e-04,2.146205041990608464e+00,2.146205261371425088e+00
1.751459552906453609e-03,2.311349089723080397e-04,2.507837772369384766e+00,2.507837772369384766e+00,8.971908965392745355e-04,2.508880000298891577e+00,2.508880160719373809e+00
2.043369458988308907e-03,2.113754599122330546e-04,2.841861724853515625e+00,2.841861724853515625e+00,8.229124741550310727e-04,2.842899499919187001e+00,2.842899619020289315e+00
2.335279481485486031e-03,1.892052387120202184e-04,3.143457651138305664e+00,3.143457651138305664e+00,7.399102838943876891e-04,3.144433852496885340e+00,3.144433939550269841e+00
2.627189271152019501e-03,1.648777251830324531e-04,3.409225702285766602e+00,3.409225702285766602e+00,6.495030754875054119e-04,3.410036331965256906e+00,3.410036393820058187e+00
2.919099293649196625e-03,1.386588555760681629e-04,3.635890483856201172e+00,3.635890483856201172e+00,5.383014833780847734e-04,3.636666225131720331e+00,3.636666264971571749e+00
3.211009083315730095e-03,1.108583455788902938e-04,3.821056365966796875e+00,3.821056365966796875e+00,4.346592329311939188e-04,3.821749477863683353e+00,3.821749502581243796e+00
3.502919105812907219e-03,8.179355063475668430e-05,3.962667942047119141e+00,3.962667942047119141e+00,3.114274263195385074e-04,3.963157561429512032e+00,3.963157573665593958e+00
3.794829128310084343e-03,5.179069194127805531e-05,4.058844566345214844e+00,4.058844566345214844e+00,1.993371802215729684e-04,4.059285120657850854e+00,4.059285125552223761e+00
4.086738917976617813e-03,2.119738019246142358e-05,4.108681201934814453e+00,4.108681201934814453e+00,6.995986061776536514e-05,4.109026660158657585e+00,4.109026660754222071e+00
4.378648940473794937e-03,-9.638095434638671577e-06,4.111682415008544922e+00,4.111682415008544922e+00,-4.512980150700796799e-05,4.111817299885829335e+00,4.111817300133493447e+00
4.670558962970972061e-03,-4.036335667478851974e-05,4.067555904388427734e+00,4.067555904388427734e+00,-1.595400277820228647e-04,4.067623458857783980e+00,4.067623461986516809e+00
4.962468519806861877e-03,-7.062688382575288415e-05,3.976977348327636719e+00,3.976977348327636719e+00,-2.720468165550330797e-04,3.976949165683343335e+00,3.976949174988147817e+00
5.254378542304039001e-03,-1.000857300823554397e-04,3.841062307357788086e+00,3.841062307357788086e+00,-3.969508609439669150e-04,3.840836357171083737e+00,3.840836377683541247e+00
5.546288564801216125e-03,-1.283981400774791837e-04,3.661136150360107422e+00,3.661136150360107422e+00,-5.095191024680292315e-04,3.660834857493095118e+00,3.660834892950814989e+00
5.838198587298393250e-03,-1.552430039737373590e-04,3.439386367797851562e+00,3.439386367797851562e+00,-6.093383546287017968e-04,3.438998168563802693e+00,3.438998222546563177e+00
6.130108609795570374e-03,-1.803184713935479522e-04,3.178427457809448242e+00,3.178427457809448242e+00,-7.027962360065872095e-04,3.177864866887303297e+00,3.177864944600259367e+00
