time	WettedArea_bottom	maxU
0	4.4382453706785e-06	7.1665749971749e-06
1e-07	4.4382453706785e-06	7.1665749971749e-06
2e-07	4.4383127355493e-06	6.0325244114439e-06
3e-07	4.4383148479806e-06	5.0645130190187e-06
4e-07	4.4383149142596e-06	4.2922092264512e-06
5e-07	4.4383149163622e-06	3.9899756950483e-06
6e-07	4.4383149164527e-06	3.782496148838e-06
7e-07	4.4383149164764e-06	3.6411164435465e-06
8e-07	4.4383149164951e-06	3.5049554529077e-06
9e-07	4.4383149165115e-06	3.3738168851286e-06
1e-06	4.4383149165263e-06	3.2476725996007e-06
1.1e-06	4.4383149165397e-06	3.1265092518418e-06
1.2e-06	4.4383149165521e-06	3.0103080424587e-06
1.3e-06	4.4383149165635e-06	2.8989850283896e-06
1.4e-06	4.4383149165742e-06	2.7924263367946e-06
1.5e-06	4.4383149165842e-06	2.6904875412538e-06
1.6e-06	4.4383149165936e-06	2.5930042944811e-06
1.7e-06	4.4383149166025e-06	2.4997995109352e-06
1.8e-06	4.438314916611e-06	2.4106896625878e-06
1.9e-06	4.438314916619e-06	2.3254896327162e-06
2e-06	4.4383149166267e-06	2.2440158988662e-06
2.1e-06	4.438314916634e-06	2.1661007794221e-06
2.2e-06	4.4383149166411e-06	2.0915486279269e-06
2.3e-06	4.4383149166478e-06	2.0202026255382e-06
2.4e-06	4.4383149166543e-06	1.9519037140531e-06
2.5e-06	4.4383149166606e-06	1.8865002704902e-06
2.6e-06	4.4383149166667e-06	1.8238482356951e-06
2.7e-06	4.4383149166725e-06	1.7638110623179e-06
2.8e-06	4.4383149166781e-06	1.7062595282806e-06
2.9e-06	4.4383149166836e-06	1.6510715650609e-06
3e-06	4.4383149166889e-06	1.6093275911488e-06
3.1e-06	4.4383149166941e-06	1.5733789198096e-06
3.2e-06	4.4383149166991e-06	1.5383303905735e-06
3.3e-06	4.4383149167039e-06	1.5041670056626e-06
3.4e-06	4.4383149167087e-06	1.4708786681045e-06
3.5e-06	4.4383149167133e-06	1.438445085057e-06
3.6e-06	4.4383149167178e-06	1.4068525110486e-06
3.7e-06	4.4383149167222e-06	1.3760827191018e-06
3.8e-06	4.4383149167264e-06	1.3461176141441e-06
3.9e-06	4.4383149167306e-06	1.3169387216836e-06
4e-06	4.4383149167347e-06	1.2885273045329e-06
4.1e-06	4.4383149167387e-06	1.26086448068e-06
4.2e-06	4.4383149167426e-06	1.2339313255337e-06
