N,mode,ranks,pressureRelL2,liquidRelL2,gasRelL2,interfaceRelL2,parallelDifference,seconds,max_relative_residual,job_id
16,legacy,1,0.9211808078078436,3.7496798832006797,0.3830277842035545,3.1082698841327394,0.0,1.019523774040863,2.19167572410942e-14,54503635_2
16,legacy,8,0.921180807807848,3.749679883200699,0.3830277842035556,3.1082698841327536,1.8519777877068068e-14,1.540409391047433,3.0580533477663627e-14,54503635_2
16,geometry,1,0.9119946460454147,3.7114190872502615,0.3796594748362141,3.0780205114609056,0.0,0.6677858410403132,2.2599864155988562e-14,54503635_2
16,geometry,8,0.91199464604542,3.711419087250284,0.3796594748362155,3.0780205114609234,1.5312731131516133e-14,1.5208194550359622,2.3815772645728674e-14,54503635_2
24,legacy,1,0.17959588197072401,0.7361473727564499,0.06746091744865565,0.5871453067116573,0.0,2.3759078290313482,3.4650041301017137e-14,54503635_2
24,legacy,8,0.17953552300747846,0.7359007765831032,0.06743776470459052,0.5869148153140502,0.00029721220560437504,2.8811021230649203,2.9988871532262434e-14,54503635_2
24,geometry,1,0.17982827957014896,0.7371026971927436,0.06754658230432617,0.5879167536798002,0.0,2.425988078932278,4.0535775439850546e-14,54503635_2
24,geometry,8,0.17982827957014927,0.7371026971927448,0.06754658230432631,0.5879167536798008,1.4118768443622248e-15,2.4756726619089022,2.5316758026982274e-14,54503635_2
32,legacy,1,0.06471630565930972,0.25582837286832427,0.028796928302383628,0.22280472245648703,0.0,11.952833697083406,5.01356850684406e-14,54503635_2
32,legacy,8,0.06471007221842544,0.2558011587346918,0.02879540784020448,0.22278022844907153,3.173863106229501e-05,5.137847032980062,3.50686784214009e-14,54503635_2
32,geometry,1,0.064766726727242,0.2560488071738275,0.02880907612718996,0.22297776175113432,0.0,11.80049620300997,5.226066493777003e-14,54503635_2
32,geometry,8,0.06476672672724201,0.2560488071738278,0.028809076127189897,0.22297776175113423,1.821436987691338e-15,4.683517727069557,3.902228202909863e-14,54503635_2
48,legacy,1,0.029745949325356198,0.11457373169050006,0.014474897549284221,0.10021719412057149,0.0,178.918177139014,7.268769560861811e-14,54503635_2
48,legacy,8,0.029745894282311447,0.11457337617778658,0.014474933419399405,0.1002168660011204,2.6394727118585684e-06,23.856203016010113,5.803242392022657e-14,54503635_2
48,geometry,1,0.029753497313447924,0.11460347792109299,0.014478276541842769,0.10024318522327204,0.0,161.5785030310508,7.421262087787582e-14,54503635_2
48,geometry,8,0.029753497313450304,0.11460347792109993,0.014478276541844904,0.10024318522327506,4.916318429465348e-15,23.23232425097376,4.751808386300073e-14,54503635_2
