theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
0.000000000000000000e+00,1.302295367337452490e+02,1.304545226783565113e+02,1.000000000000000000e+00,1.000000000000000000e+00,9.183787584164274165e+01,9.424777960769380059e+01,-7.732864746299722469e+01,4.954266565949473033e+01,4.000000000000000000e+00
2.500000000000000000e-01,1.302225578494449678e+02,1.304475854558079106e+02,9.991968489508201712e-01,9.992016415964334319e-01,9.176411615530608401e+01,9.417253610082650539e+01,-7.726475909238611450e+01,4.950565640570825821e+01,4.000000000000000000e+00
5.000000000000000000e-01,1.302016105706692031e+02,1.304267632239332215e+02,9.967900446181410246e-01,9.968091762358659569e-01,9.154308035782636921e+01,9.394705155280470876e+01,-7.707330844988237573e+01,4.939474350564788807e+01,4.000000000000000000e+00
7.500000000000001110e-01,1.301666629345600086e+02,1.303920242053804373e+02,9.927875220264871237e-01,9.928304223215044244e-01,9.117549718500067968e+01,9.357206283077070452e+01,-7.675493800972076031e+01,4.921027106261443862e+01,4.000000000000000000e+00
1.000000000000000000e+00,1.301176613840741254e+02,1.303433151541747179e+02,9.872024682101037119e-01,9.872783734246851628e-01,9.066257770604276800e+01,9.304879454997214339e+01,-7.631071545448854465e+01,4.895281098290810462e+01,4.000000000000000000e+00
1.250000000000000000e+00,1.300545303342583736e+02,1.302805609248216570e+02,9.800532654134527233e-01,9.801711428316594032e-01,9.000601010723721629e+01,9.237895384741959504e+01,-7.574212902974903727e+01,4.862316058695625998e+01,4.000000000000000000e+00
1.500000000000000222e+00,1.299771715542561310e+02,1.302036638582544583e+02,9.713634119914249521e-01,9.715318863035176111e-01,8.920795242758295274e+01,9.156472310218096311e+01,-7.505108107322377009e+01,4.822233928442598483e+01,4.000000000000000000e+00
1.750000000000000000e+00,1.298854633538661858e+02,1.301125029734205327e+02,9.611614214257898636e-01,9.613887034409032140e-01,8.827102328467854875e+01,9.060875063922473771e+01,-7.423987975093574221e+01,4.775158433278275538e+01,4.000000000000000000e+00
2.000000000000000000e+00,1.297792595596824867e+02,1.300069329495025556e+02,9.494806999889712218e-01,9.497745181531632719e-01,8.719829063962318116e+01,8.951413946390290732e+01,-7.331122904177041733e+01,4.721234570382279827e+01,4.000000000000000000e+00
2.250000000000000000e+00,1.296583882615711900e+02,1.298867828794746515e+02,9.363594036978167834e-01,9.367269388366417093e-01,8.599325865995473350e+01,8.828443408406548087e+01,-7.226821702067704223e+01,4.660628008766850172e+01,4.000000000000000000e+00
2.500000000000000000e+00,1.295226503053230260e+02,1.297518547707540506e+02,9.218402753076816447e-01,9.222880989683848174e-01,8.465985274953263229e+01,8.692360548637121553e+01,-7.111430249930658931e+01,4.593524406824964501e+01,4.000000000000000000e+00
2.750000000000000000e+00,1.293718175015764587e+02,1.296019217629274465e+02,9.059704622005200214e-01,9.065044789189944385e-01,8.320240282376704499e+01,8.543603434254470130e+01,-6.985330009092022863e+01,4.520128650886212540e+01,4.000000000000000000e+00
3.000000000000000444e+00,1.292056305143026691e+02,1.294367260256749148e+02,8.888013161192133138e-01,8.894267098811626804e-01,8.162562491764496997e+01,8.382649253007603818e+01,-6.848936377453561875e+01,4.440664018990168671e+01,4.000000000000000000e+00
3.250000000000000000e+00,1.290237963839870758e+02,1.292559762917850037e+02,8.703881757935616470e-01,8.711093608980585712e-01,7.993460122256303180e+01,8.210012306011923044e+01,-6.702696904048292481e+01,4.355371274479729493e+01,4.000000000000000000e+00
3.500000000000000000e+00,1.288259856307667235e+02,1.290593449701711961e+02,8.507901335911186580e-01,8.516107100576770783e-01,7.813475865603579962e+01,8.026241851306757269e+01,-6.547089370679302078e+01,4.264507694295758000e+01,4.000000000000000000e+00
3.749999999999999556e+00,1.286118288707128556e+02,1.288464647715803437e+02,8.300697874078161176e-01,8.309925009950942520e-01,7.623184607585780270e+01,7.831919808943190731e+01,-6.382619750230774969e+01,4.168346037134730153e+01,4.000000000000000000e+00
4.000000000000000000e+00,1.283809128635709556e+02,1.286169247645906637e+02,8.082929790894235467e-01,8.093196859138442889e-01,7.423191025728601744e+01,7.627658339017597200e+01,-6.209820051848878109e+01,4.067173456850990476e+01,4.000000000000000000e+00
4.250000000000000000e+00,1.281327758917889810e+02,1.283702657607062747e+02,7.855285207450358742e-01,7.866601563999942037e-01,7.214127075825189195e+01,7.414097304654059428e+01,-6.029246063746365536e+01,3.961290366654917250e+01,4.000000000000000000e+00
4.500000000000000000e+00,1.278669023475210338e+02,1.281059749037698907e+02,7.618479103786091056e-01,7.630844633575966096e-01,6.996649380356566894e+01,7.191901632458205995e+01,-5.841475004871116283e+01,3.851009259805788076e+01,4.000000000000000000e+00
4.750000000000000000e+00,1.275827163750922324e+02,1.278234793090768306e+02,7.373250383244276396e-01,7.386655274417879280e-01,6.771436532457326507e+01,6.961758583413453039e+01,-5.647103097126178284e+01,3.736653492568667900e+01,4.000000000000000000e+00
5.000000000000000000e+00,1.272795743792739529e+02,1.275221385595127543e+02,7.120358860284302649e-01,7.134783414056021789e-01,6.539186329587306545e+01,6.724374947565810601e+01,-5.446743070181309321e+01,3.618556035284433392e+01,4.000000000000000000e+00
5.250000000000000000e+00,1.269567561621109206e+02,1.272012358170864843e+02,6.860582187708942348e-01,6.875996658084375657e-01,6.300612951561995345e+01,6.480474176143754050e+01,-5.241021611240757494e+01,3.497058197385067047e+01,4.000000000000000000e+00
5.500000000000000000e+00,1.266134543894990827e+02,1.268599672447136300e+02,6.594712739793814338e-01,6.611077195578917154e-01,6.056444098084839567e+01,6.230793464983722174e+01,-5.030576772351161452e+01,3.372508332192472125e+01,4.000000000000000000e+00
5.750000000000000000e+00,1.262487620084640696e+02,1.264974293499385425e+02,6.323554468373105975e-01,6.340818667722782909e-01,5.807418101443144565e+01,5.976080803278874498e+01,-4.816055348014253923e+01,3.245260527266307093e+01,4.000000000000000000e+00
6.000000000000000888e+00,1.258616571304759901e+02,1.261126037523121113e+02,6.047919749576786685e-01,6.066023014585553153e-01,5.554281030618520276e+01,5.717092001738575391e+01,-4.598110235956073666e+01,3.115673285998503772e+01,4.000000000000000000e+00
6.250000000000000000e+00,1.254509847557856688e+02,1.257043387292173406e+02,5.768626239705381131e-01,5.787497314996049580e-01,5.297783803789052826e+01,5.454587714238672902e+01,-4.377397793934260051e+01,2.984108206038963118e+01,4.000000000000000000e+00
6.500000000000000000e+00,1.250154345253076258e+02,1.252713266964430119e+02,5.486493759771132739e-01,5.506050634359151985e-01,5.038679327158089905e+01,5.189330466958840304e+01,-4.154575205413219408e+01,2.850928660015190275e+01,4.000000000000000000e+00
6.750000000000000000e+00,1.245535134306986151e+02,1.248120765084180448e+02,5.202341229688683955e-01,5.222490895098209629e-01,4.777719679380083306e+01,4.922081708844035575e+01,-3.930297866824037811e+01,2.716498483852723211e+01,4.000000000000000000e+00
7.000000000000000000e+00,1.240635120617241682e+02,1.243248790871389815e+02,4.916983675207411419e-01,4.937621784157340543e-01,4.515653362790824588e+01,4.653598896994088818e+01,-3.705216808921034755e+01,2.581180677862962369e+01,4.000000000000000000e+00
7.250000000000000888e+00,1.235434624807957249e+02,1.238077643608578455e+02,4.631229333820745531e-01,4.652239711674570621e-01,4.253222645536034463e+01,4.384632630280658816e+01,-3.479976164499983327e+01,2.445336125568942265e+01,4.000000000000000000e+00
7.499999999999999112e+00,1.229910851243872827e+02,1.232584467405867201e+02,4.345876890674179593e-01,4.367130834539693640e-01,3.991161023087997251e+01,4.115923844116609587e+01,-3.255210694395855597e+01,2.309322335081804667e+01,4.000000000000000000e+00
7.750000000000000000e+00,1.224037211428170622e+02,1.226742552703621811e+02,4.061712882910031852e-01,4.083068158083189569e-01,3.730190834450922921e+01,3.848201078862167179e+01,-3.031543383289249860e+01,2.173492207636558504e+01,4.000000000000000000e+00
8.000000000000000000e+00,1.217782451520454714e+02,1.220520429738634363e+02,3.779509322584970188e-01,3.800808728607787401e-01,3.471021079098897388e+01,3.582177833848255943e+01,-2.809583116377982748e+01,2.038192837714982275e+01,4.000000000000000000e+00
8.250000000000000000e+00,1.211109512425526447e+02,1.213880674876230046e+02,3.500021607099986776e-01,3.521090928876134951e-01,3.214345497959154585e+01,3.318550018433678162e+01,-2.589922447446632603e+01,1.903764348983962051e+01,4.000000000000000000e+00
8.500000000000000000e+00,1.203974018794581156e+02,1.206778313200421593e+02,3.223986816962723378e-01,3.244631888010771625e-01,2.960841010113155747e+01,3.057993510893346212e+01,-2.373135468280745286e+01,1.770538770079836866e+01,4.000000000000000000e+00
8.750000000000000000e+00,1.196322243851985547e+02,1.199158641425506033e+02,2.952122552691155977e-01,2.972125016550461463e-01,2.711166644633637901e+01,2.801161835263611977e+01,-2.159775788728249424e+01,1.638838954076112486e+01,4.000000000000000000e+00
9.000000000000000000e+00,1.188088319189145778e+02,1.190954198639789468e+02,2.685126552744651063e-01,2.704237676644980493e-01,2.465963189700614322e+01,2.548683965552580588e+01,-1.950374636021817309e+01,1.508977545267387654e+01,4.000000000000000000e+00
