z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
9.999999974752427079e-07,1.091802914743311703e-06,2.507683105468750000e+02,2.161653594970703125e+02,6.092524528503417969e-01,5.251830816268920898e-01
4.521252994891256094e-04,4.936317563988268375e-04,2.656397399902343750e+02,2.487185821533203125e+02,6.453832387924194336e-01,6.042725443840026855e-01
9.032506495714187622e-04,9.861716534942388535e-04,2.807293701171875000e+02,2.807052307128906250e+02,6.820441484451293945e-01,6.819854974746704102e-01
1.354375970549881458e-03,1.478711608797311783e-03,2.960038146972656250e+02,3.120760803222656250e+02,7.191540598869323730e-01,7.582023143768310547e-01
1.805501291528344154e-03,1.971251564100384712e-03,3.135703735351562500e+02,3.427876586914062500e+02,7.618327736854553223e-01,8.328174352645874023e-01
2.256626496091485023e-03,2.463791519403457642e-03,3.420836181640625000e+02,3.727952880859375000e+02,8.311069607734680176e-01,9.057222604751586914e-01
2.707751933485269547e-03,2.956331474706530571e-03,3.713552551269531250e+02,4.020585327148437500e+02,9.022236466407775879e-01,9.768185615539550781e-01
3.158877138048410416e-03,3.448871430009603500e-03,4.012192993164062500e+02,4.305385742187500000e+02,9.747796058654785156e-01,1.046012043952941895e+00
3.610002575442194939e-03,3.941411618143320084e-03,4.295626220703125000e+02,4.581989440917968750e+02,1.043640971183776855e+00,1.113214135169982910e+00
4.061128012835979462e-03,4.433951340615749359e-03,4.548994445800781250e+02,4.850049438476562500e+02,1.105197906494140625e+00,1.178340435028076172e+00
4.512253217399120331e-03,4.926491528749465942e-03,4.811869506835937500e+02,5.109257202148437500e+02,1.169064521789550781e+00,1.241316080093383789e+00
4.963378421962261200e-03,5.419031251221895218e-03,5.082776794433593750e+02,5.359306640625000000e+02,1.234882593154907227e+00,1.302066683769226074e+00
5.414503626525402069e-03,5.911570973694324493e-03,5.324465332031250000e+02,5.599931030273437500e+02,1.293601870536804199e+00,1.360527396202087402e+00
5.865629296749830246e-03,6.404111161828041077e-03,5.542299194335937500e+02,5.830891723632812500e+02,1.346525549888610840e+00,1.416640281677246094e+00
6.316754501312971115e-03,6.896650884300470352e-03,5.771475830078125000e+02,6.051950683593750000e+02,1.402204990386962891e+00,1.470347523689270020e+00
6.767879705876111984e-03,7.389191072434186935e-03,6.010697021484375000e+02,6.262902221679687500e+02,1.460324764251708984e+00,1.521599173545837402e+00
7.219004910439252853e-03,7.881730794906616211e-03,6.203614501953125000e+02,6.463575439453125000e+02,1.507194995880126953e+00,1.570353627204895020e+00
7.670130115002393723e-03,8.374270983040332794e-03,6.383378295898437500e+02,6.653799438476562500e+02,1.550869345664978027e+00,1.616569280624389648e+00
8.121255785226821899e-03,8.866811171174049377e-03,6.576198730468750000e+02,6.833444213867187500e+02,1.597715854644775391e+00,1.660214781761169434e+00
8.572380989789962769e-03,9.359350427985191345e-03,6.780961914062500000e+02,7.002385864257812500e+02,1.647464036941528320e+00,1.701259851455688477e+00
9.023506194353103638e-03,9.851890616118907928e-03,6.920139160156250000e+02,7.160533447265625000e+02,1.681277751922607422e+00,1.739682555198669434e+00
9.474631398916244507e-03,1.034443080425262451e-02,7.060458984375000000e+02,7.307805175781250000e+02,1.715368986129760742e+00,1.775462865829467773e+00
9.925756603479385376e-03,1.083697006106376648e-02,7.215395507812500000e+02,7.444151000976562500e+02,1.753011465072631836e+00,1.808588624000549316e+00
1.037688180804252625e-02,1.132951024919748306e-02,7.384028930664062500e+02,7.569532470703125000e+02,1.793981790542602539e+00,1.839050650596618652e+00
1.082800794392824173e-02,1.182205043733119965e-02,7.466499633789062500e+02,7.683922729492187500e+02,1.814018368721008301e+00,1.866842269897460938e+00
1.127913314849138260e-02,1.231459062546491623e-02,7.567059326171875000e+02,7.787333374023437500e+02,1.838449716567993164e+00,1.891966342926025391e+00
1.173025835305452347e-02,1.280713081359863281e-02,7.683612670898437500e+02,7.879771728515625000e+02,1.866766929626464844e+00,1.914424538612365723e+00
1.218138355761766434e-02,1.329967007040977478e-02,7.796292724609375000e+02,7.961274414062500000e+02,1.894142985343933105e+00,1.934226036071777344e+00
1.263250876218080521e-02,1.379221025854349136e-02,7.840137329101562500e+02,8.031895751953125000e+02,1.904795289039611816e+00,1.951383829116821289e+00
1.308363396674394608e-02,1.428474951535463333e-02,7.901549682617187500e+02,8.091696166992187500e+02,1.919715642929077148e+00,1.965912580490112305e+00
1.353475917130708694e-02,1.477728970348834991e-02,7.980125122070312500e+02,8.140762939453125000e+02,1.938805937767028809e+00,1.977833509445190430e+00
1.398588437587022781e-02,1.526982989162206650e-02,8.037539062500000000e+02,8.179187622070312500e+02,1.952754855155944824e+00,1.987169027328491211e+00
1.443700958043336868e-02,1.576237007975578308e-02,8.042948608398437500e+02,8.207080078125000000e+02,1.954069137573242188e+00,1.993945598602294922e+00
1.488813571631908417e-02,1.625491119921207428e-02,8.066620483398437500e+02,8.224564819335937500e+02,1.959820270538330078e+00,1.998193502426147461e+00
1.533926092088222504e-02,1.674745045602321625e-02,8.108393554687500000e+02,8.231777343750000000e+02,1.969969272613525391e+00,1.999945878982543945e+00
1.579038612544536591e-02,1.723998971283435822e-02,8.111428833007812500e+02,8.228864135742187500e+02,1.970706701278686523e+00,1.999238133430480957e+00
1.624151133000850677e-02,1.773252896964550018e-02,8.080697631835937500e+02,8.215983886718750000e+02,1.963240385055541992e+00,1.996108770370483398e+00
1.669263653457164764e-02,1.822507008910179138e-02,8.068679809570312500e+02,8.193307495117187500e+02,1.960320591926574707e+00,1.990599513053894043e+00
1.714376173913478851e-02,1.871760934591293335e-02,8.075457153320312500e+02,8.161012573242187500e+02,1.961967229843139648e+00,1.982753276824951172e+00
1.759488694369792938e-02,1.921014860272407532e-02,8.026453247070312500e+02,8.119289550781250000e+02,1.950061440467834473e+00,1.972616434097290039e+00
1.804601214826107025e-02,1.970268972218036652e-02,7.962389526367187500e+02,8.068332519531250000e+02,1.934496998786926270e+00,1.960236191749572754e+00
1.849713735282421112e-02,2.019522897899150848e-02,7.917233886718750000e+02,8.008350219726562500e+02,1.923526167869567871e+00,1.945663332939147949e+00
1.894826255738735199e-02,2.068776823580265045e-02,7.891311645507812500e+02,7.939557495117187500e+02,1.917228221893310547e+00,1.928949832916259766e+00
1.939938776195049286e-02,2.118030935525894165e-02,7.793854370117187500e+02,7.862169189453125000e+02,1.893550634384155273e+00,1.910148024559020996e+00
1.985051296651363373e-02,2.167284861207008362e-02,7.699632568359375000e+02,7.776417236328125000e+02,1.870658993721008301e+00,1.889314174652099609e+00
2.030163817107677460e-02,2.216538786888122559e-02,7.624256591796875000e+02,7.682531127929687500e+02,1.852346062660217285e+00,1.866504192352294922e+00
2.075276523828506470e-02,2.265793085098266602e-02,7.565596923828125000e+02,7.580746459960937500e+02,1.838094472885131836e+00,1.841775059700012207e+00
2.120389044284820557e-02,2.315047010779380798e-02,7.426994628906250000e+02,7.471304931640625000e+02,1.804420471191406250e+00,1.815185785293579102e+00
2.165501564741134644e-02,2.364300936460494995e-02,7.306024780273437500e+02,7.354453125000000000e+02,1.775030255317687988e+00,1.786796212196350098e+00
2.210614085197448730e-02,2.413554862141609192e-02,7.203577270507812500e+02,7.230447387695312500e+02,1.750140190124511719e+00,1.756668448448181152e+00
2.255726605653762817e-02,2.462808974087238312e-02,7.101802978515625000e+02,7.099527587890625000e+02,1.725413680076599121e+00,1.724860906600952148e+00
2.300839126110076904e-02,2.512062899768352509e-02,6.940760498046875000e+02,6.961957397460937500e+02,1.686287760734558105e+00,1.691437602043151855e+00
2.345951646566390991e-02,2.561316825449466705e-02,6.796564941406250000e+02,6.817995605468750000e+02,1.651254773139953613e+00,1.656461477279663086e+00
2.391064167022705078e-02,2.610570937395095825e-02,6.670310668945312500e+02,6.667892456054687500e+02,1.620580792427062988e+00,1.619993329048156738e+00
2.436176687479019165e-02,2.659824863076210022e-02,6.530722045898437500e+02,6.511911010742187500e+02,1.586667180061340332e+00,1.582096934318542480e+00
2.481289207935333252e-02,2.709078788757324219e-02,6.351004028320312500e+02,6.350317993164062500e+02,1.543003916740417480e+00,1.542837142944335938e+00
