z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
9.999999974752427079e-07,1.091802914743311703e-06,2.309993743896484375e+02,2.161653594970703125e+02,5.612229704856872559e-01,5.251830816268920898e-01
4.521252994891256094e-04,4.936317563988268375e-04,2.478895568847656250e+02,2.487185821533203125e+02,6.022583842277526855e-01,6.042725443840026855e-01
9.032506495714187622e-04,9.861716534942388535e-04,2.798385925292968750e+02,2.807052307128906250e+02,6.798799633979797363e-01,6.819854974746704102e-01
1.354375970549881458e-03,1.478711608797311783e-03,3.111733703613281250e+02,3.120760803222656250e+02,7.560091614723205566e-01,7.582023143768310547e-01
1.805501291528344154e-03,1.971251564100384712e-03,3.418491210937500000e+02,3.427876586914062500e+02,8.305371999740600586e-01,8.328174352645874023e-01
2.256626496091485023e-03,2.463791519403457642e-03,3.718231811523437500e+02,3.727952880859375000e+02,9.033604860305786133e-01,9.057222604751586914e-01
2.707751933485269547e-03,2.956331474706530571e-03,4.010553588867187500e+02,4.020585327148437500e+02,9.743813276290893555e-01,9.768185615539550781e-01
3.158877138048410416e-03,3.448871430009603500e-03,4.295075073242187500e+02,4.305385742187500000e+02,1.043507099151611328e+00,1.046012043952941895e+00
3.610002575442194939e-03,3.941411618143320084e-03,4.571438598632812500e+02,4.581989440917968750e+02,1.110650777816772461e+00,1.113214135169982910e+00
4.061128012835979462e-03,4.433951340615749359e-03,4.839309387207031250e+02,4.850049438476562500e+02,1.175731182098388672e+00,1.178340435028076172e+00
4.512253217399120331e-03,4.926491528749465942e-03,5.098374633789062500e+02,5.109257202148437500e+02,1.238672137260437012e+00,1.241316080093383789e+00
4.963378421962261200e-03,5.419031251221895218e-03,5.348344726562500000e+02,5.359306640625000000e+02,1.299403429031372070e+00,1.302066683769226074e+00
5.414503626525402069e-03,5.911570973694324493e-03,5.588953247070312500e+02,5.599931030273437500e+02,1.357860326766967773e+00,1.360527396202087402e+00
5.865629296749830246e-03,6.404111161828041077e-03,5.819955444335937500e+02,5.830891723632812500e+02,1.413983345031738281e+00,1.416640281677246094e+00
6.316754501312971115e-03,6.896650884300470352e-03,6.041129150390625000e+02,6.051950683593750000e+02,1.467718482017517090e+00,1.470347523689270020e+00
6.767879705876111984e-03,7.389191072434186935e-03,6.252274169921875000e+02,6.262902221679687500e+02,1.519016981124877930e+00,1.521599173545837402e+00
7.219004910439252853e-03,7.881730794906616211e-03,6.453212890625000000e+02,6.463575439453125000e+02,1.567835927009582520e+00,1.570353627204895020e+00
7.670130115002393723e-03,8.374270983040332794e-03,6.643787231445312500e+02,6.653799438476562500e+02,1.614136815071105957e+00,1.616569280624389648e+00
8.121255785226821899e-03,8.866811171174049377e-03,6.823861083984375000e+02,6.833444213867187500e+02,1.657886505126953125e+00,1.660214781761169434e+00
8.572380989789962769e-03,9.359350427985191345e-03,6.993320312500000000e+02,7.002385864257812500e+02,1.699057340621948242e+00,1.701259851455688477e+00
9.023506194353103638e-03,9.851890616118907928e-03,7.152067260742187500e+02,7.160533447265625000e+02,1.737625598907470703e+00,1.739682555198669434e+00
9.474631398916244507e-03,1.034443080425262451e-02,7.298572387695312500e+02,7.307805175781250000e+02,1.773219704627990723e+00,1.775462865829467773e+00
9.925756603479385376e-03,1.083697006106376648e-02,7.434473876953125000e+02,7.444151000976562500e+02,1.806237578392028809e+00,1.808588624000549316e+00
1.037688180804252625e-02,1.132951024919748306e-02,7.559463500976562500e+02,7.569532470703125000e+02,1.836604356765747070e+00,1.839050650596618652e+00
1.082800794392824173e-02,1.182205043733119965e-02,7.673526611328125000e+02,7.683922729492187500e+02,1.864316463470458984e+00,1.866842269897460938e+00
1.127913314849138260e-02,1.231459062546491623e-02,7.776668090820312500e+02,7.787333374023437500e+02,1.889375090599060059e+00,1.891966342926025391e+00
1.173025835305452347e-02,1.280713081359863281e-02,7.868905029296875000e+02,7.879771728515625000e+02,1.911784529685974121e+00,1.914424538612365723e+00
1.218138355761766434e-02,1.329967007040977478e-02,7.950274658203125000e+02,7.961274414062500000e+02,1.931553602218627930e+00,1.934226036071777344e+00
1.263250876218080521e-02,1.379221025854349136e-02,8.020828857421875000e+02,8.031895751953125000e+02,1.948695063591003418e+00,1.951383829116821289e+00
1.308363396674394608e-02,1.428474951535463333e-02,8.080635986328125000e+02,8.091696166992187500e+02,1.963225483894348145e+00,1.965912580490112305e+00
1.353475917130708694e-02,1.477728970348834991e-02,8.129778442382812500e+02,8.140762939453125000e+02,1.975164771080017090e+00,1.977833509445190430e+00
