theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
0.000000000000000000e+00,1.304191023921692363e+02,1.304545226783565113e+02,1.000000000000000000e+00,1.000000000000000000e+00,9.386422811251367193e+01,9.424777960769380059e+01,-7.144953671083098357e+01,6.087246522825914496e+01,4.000000000000000000e+00
2.500000000000000000e-01,1.304121686240240479e+02,1.304475854558079106e+02,9.992020389818899728e-01,9.992016415964334319e-01,9.378932811748489939e+01,9.417253610082650539e+01,-7.139045925661264391e+01,6.082631335087779689e+01,4.000000000000000000e+00
5.000000000000000000e-01,1.303913568044874012e+02,1.304267632239332215e+02,9.968107676106938708e-01,9.968091762358659569e-01,9.356487327602002324e+01,9.394705155280470876e+01,-7.121342427916715678e+01,6.068800304502539689e+01,4.000000000000000000e+00
7.500000000000001110e-01,1.303566353046701636e+02,1.303920242053804373e+02,9.928340098081002152e-01,9.928304223215044244e-01,9.319159797448915583e+01,9.357206283077070452e+01,-7.091902307523422166e+01,6.045796969046517688e+01,4.000000000000000000e+00
1.000000000000000000e+00,1.303079511296704993e+02,1.303433151541747179e+02,9.872847684084042896e-01,9.872783734246851628e-01,9.267072271389669424e+01,9.304879454997214339e+01,-7.050823828088896050e+01,6.013693692599674279e+01,4.000000000000000000e+00
1.250000000000000000e+00,1.302452294932637074e+02,1.302805609248216570e+02,9.801811698055986621e-01,9.801711428316594032e-01,9.200394891422321564e+01,9.237895384741959504e+01,-6.998243959926848845e+01,5.972591366857214012e+01,4.000000000000000000e+00
1.500000000000000222e+00,1.301683732119450951e+02,1.302036638582544583e+02,9.715463868578966267e-01,9.715318863035176111e-01,9.119345167791806261e+01,9.156472310218096311e+01,-6.934337785039058133e+01,5.922618996044517559e+01,4.000000000000000000e+00
1.750000000000000000e+00,1.300772619074139698e+02,1.301125029734205327e+02,9.614085404457352046e-01,9.613887034409032140e-01,9.024187054971731925e+01,9.060875063922473771e+01,-6.859317737371222279e+01,5.863933166476567749e+01,4.000000000000000000e+00
2.000000000000000000e+00,1.299717510028939955e+02,1.300069329495025556e+02,9.498005801886892918e-01,9.497745181531632719e-01,8.915229832022896517e+01,8.951413946390290732e+01,-6.773432682262171056e+01,5.796717403552954551e+01,4.000000000000000000e+00
2.250000000000000000e+00,1.298516704945222671e+02,1.298867828794746515e+02,9.367601449335761776e-01,9.367269388366417093e-01,8.792826793075656155e+01,8.828443408406548087e+01,-6.676966839827586853e+01,5.721181419328696194e+01,4.000000000000000000e+00
2.500000000000000000e+00,1.297168234742581490e+02,1.297518547707540506e+02,9.223294037294871295e-01,9.222880989683848174e-01,8.657373754654329900e+01,8.692360548637121553e+01,-6.570238557821377867e+01,5.637560254320557362e+01,4.000000000000000000e+00
2.750000000000000000e+00,1.295669843751831820e+02,1.296019217629274465e+02,9.065548781053087701e-01,9.065044789189944385e-01,8.509307387498873254e+01,8.543603434254470130e+01,-6.453598940258574146e+01,5.546113317742103277e+01,4.000000000000000000e+00
3.000000000000000444e+00,1.294018969034590611e+02,1.294367260256749148e+02,8.894872465609201528e-01,8.894267098811626804e-01,8.349103381436590610e+01,8.382649253007603818e+01,-6.327430338841593738e+01,5.447123330807085040e+01,4.000000000000000000e+00
3.250000000000000000e+00,1.292212716133059018e+02,1.292559762917850037e+02,8.711811322742792907e-01,8.711093608980585712e-01,8.177274452711090191e+01,8.210012306011923044e+01,-6.192144714882210366e+01,5.340895178237237673e+01,4.000000000000000000e+00
3.500000000000000000e+00,1.290247830718015507e+02,1.290593449701711961e+02,8.516948751129387318e-01,8.516107100576770783e-01,7.994368203985972343e+01,8.026241851306757269e+01,-6.048181880075348005e+01,5.227754673512341554e+01,4.000000000000000000e+00
3.749999999999999556e+00,1.288120665486302983e+02,1.288464647715803437e+02,8.310902891196139120e-01,8.309925009950942520e-01,7.800964848001838448e+01,7.831919808943190731e+01,-5.896007625057516321e+01,5.108047243812841032e+01,4.000000000000000000e+00
4.000000000000000000e+00,1.285827141515434278e+02,1.286169247645906637e+02,8.094324067176537074e-01,8.093196859138442889e-01,7.597674806580678819e+01,7.627658339017597200e+01,-5.736111745222685698e+01,4.982136540970059713e+01,4.000000000000000000e+00
4.250000000000000000e+00,1.283362703104659488e+02,1.283702657607062747e+02,7.867892109532788059e-01,7.866601563999942037e-01,7.385136197338320585e+01,7.414097304654059428e+01,-5.569005973755761119e+01,4.850402985063134054e+01,4.000000000000000000e+00
4.500000000000000000e+00,1.280722264908939394e+02,1.281059749037698907e+02,7.632313571579671940e-01,7.630844633575966096e-01,7.164012221089882360e+01,7.191901632458205995e+01,-5.395221832258467742e+01,4.713242247609046842e+01,4.000000000000000000e+00
4.750000000000000000e+00,1.277900149891403032e+02,1.278234793090768306e+02,7.388318854766842136e-01,7.386655274417879280e-01,6.934988463518206459e+01,6.961758583413453039e+01,-5.215308409723780159e+01,4.571063681529172840e+01,4.000000000000000000e+00
5.000000000000000000e+00,1.274890016263229882e+02,1.275221385595127543e+02,7.136659257669822898e-01,7.134783414056021789e-01,6.698770125232027794e+01,6.724374947565810601e+01,-5.029830080896064004e+01,4.424288705319106185e+01,4.000000000000000000e+00
5.250000000000000000e+00,1.271684771123456272e+02,1.272012358170864843e+02,6.878103964317086039e-01,6.875996658084375657e-01,6.456079194882435957e+01,6.480474176143754050e+01,-4.839364175318716121e+01,4.273349148997265701e+01,4.000000000000000000e+00
5.500000000000000000e+00,1.268276467922204489e+02,1.268599672447136300e+02,6.613436988065772848e-01,6.611077195578917154e-01,6.207651580555410931e+01,6.230793464983722174e+01,-4.644498608525469763e+01,4.118685569569138494e+01,4.000000000000000000e+00
5.750000000000000000e+00,1.264656184104245682e+02,1.264974293499385425e+02,6.343454087865227908e-01,6.340818667722782909e-01,5.954234215246390960e+01,5.976080803278874498e+01,-4.445829486959361532e+01,3.960745543820438996e+01,4.000000000000000000e+00
6.000000000000000888e+00,1.260813874283010705e+02,1.261126037523121113e+02,6.068959674465168597e-01,6.066023014585553153e-01,5.696582152896452556e+01,5.717092001738575391e+01,-4.243958698238467520e+01,3.799981946318223436e+01,4.000000000000000000e+00
6.250000000000000000e+00,1.256738192960239928e+02,1.257043387292173406e+02,5.790763725009374641e-01,5.787497314996049580e-01,5.435455672299492846e+01,5.454587714238672902e+01,-4.039491498375770107e+01,3.636851220504161120e+01,4.000000000000000000e+00
6.500000000000000000e+00,1.252416279018361820e+02,1.252713266964430119e+02,5.509678725615935191e-01,5.506050634359151985e-01,5.171617407278777989e+01,5.189330466958840304e+01,-3.833034107473297070e+01,3.471811650740180255e+01,4.000000000000000000e+00
6.750000000000000000e+00,1.247833491791522817e+02,1.248120765084180448e+02,5.226516663149239905e-01,5.222490895098209629e-01,4.905829523036940287e+01,4.922081708844035575e+01,-3.625191325274127507e+01,3.305321643086806205e+01,4.000000000000000000e+00
