theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
0.000000000000000000e+00,1.303439656053925830e+02,1.304545226783565113e+02,1.000000000000000000e+00,1.000000000000000000e+00,9.305576285955288540e+01,9.424777960769380059e+01,-7.402413832509924418e+01,5.638973263458442631e+01,4.000000000000000000e+00
2.500000000000000000e-01,1.303370133301460498e+02,1.304475854558079106e+02,9.991999099755952685e-01,9.992016415964334319e-01,9.298130987197558284e+01,9.417253610082650539e+01,-7.396293548456075939e+01,5.634721075630137932e+01,4.000000000000000000e+00
5.000000000000000000e-01,1.303161459483440865e+02,1.304267632239332215e+02,9.968022672923028127e-01,9.968091762358659569e-01,9.275819540301718291e+01,9.394705155280470876e+01,-7.377953224915422936e+01,5.621977797466234250e+01,4.000000000000000000e+00
7.500000000000001110e-01,1.302813317075881798e+02,1.303920242053804373e+02,9.928149428660888454e-01,9.928304223215044244e-01,9.238715188676731316e+01,9.357206283077070452e+01,-7.347454357735104225e+01,5.600783230806700885e+01,4.000000000000000000e+00
1.000000000000000000e+00,1.302325174050267833e+02,1.303433151541747179e+02,9.872510174359044877e-01,9.872783734246851628e-01,9.186939656136783583e+01,9.304879454997214339e+01,-7.304899140416536341e+01,5.571203531898687089e+01,4.000000000000000000e+00
1.250000000000000000e+00,1.301696279588429945e+02,1.302805609248216570e+02,9.801287255861073078e-01,9.801711428316594032e-01,9.120662625997658779e+01,9.237895384741959504e+01,-7.250430016393357846e+01,5.533330942086575277e+01,4.000000000000000000e+00
1.500000000000000222e+00,1.300925657977085166e+02,1.302036638582544583e+02,9.714713777844599107e-01,9.715318863035176111e-01,9.040101015595381284e+01,9.156472310218096311e+01,-7.184229055513098672e+01,5.487283412590424803e+01,4.000000000000000000e+00
1.750000000000000000e+00,1.300012100571826181e+02,1.301125029734205327e+02,9.613072608396597829e-01,9.613887034409032140e-01,8.945518049986172571e+01,9.060875063922473771e+01,-7.106517157978900912e+01,5.433204125189840994e+01,4.000000000000000000e+00
2.000000000000000000e+00,1.298954155683007059e+02,1.300069329495025556e+02,9.496695172937860141e-01,9.497745181531632719e-01,8.837222139623661121e+01,8.951413946390290732e+01,-7.017553089913076292e+01,5.371260911118172032e+01,4.000000000000000000e+00
2.250000000000000000e+00,1.297750116193900567e+02,1.298867828794746515e+02,9.365960043738720264e-01,9.367269388366417093e-01,8.715565567821978732e+01,8.828443408406548087e+01,-6.917632355575925374e+01,5.301645570961257903e+01,4.000000000000000000e+00
