z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
9.999999974752427079e-07,1.091802914743311703e-06,2.347789916992187500e+02,2.161653594970703125e+02,5.704057216644287109e-01,5.251830816268920898e-01
4.521252994891256094e-04,4.936317563988268375e-04,2.507588348388671875e+02,2.487185821533203125e+02,6.092294454574584961e-01,6.042725443840026855e-01
9.032506495714187622e-04,9.861716534942388535e-04,2.782156677246093750e+02,2.807052307128906250e+02,6.759369969367980957e-01,6.819854974746704102e-01
1.354375970549881458e-03,1.478711608797311783e-03,3.095658874511718750e+02,3.120760803222656250e+02,7.521036863327026367e-01,7.582023143768310547e-01
1.805501291528344154e-03,1.971251564100384712e-03,3.403617248535156250e+02,3.427876586914062500e+02,8.269234895706176758e-01,8.328174352645874023e-01
2.256626496091485023e-03,2.463791519403457642e-03,3.704548034667968750e+02,3.727952880859375000e+02,9.000359773635864258e-01,9.057222604751586914e-01
2.707751933485269547e-03,2.956331474706530571e-03,3.995499877929687500e+02,4.020585327148437500e+02,9.707239866256713867e-01,9.768185615539550781e-01
3.158877138048410416e-03,3.448871430009603500e-03,4.279505615234375000e+02,4.305385742187500000e+02,1.039724349975585938e+00,1.046012043952941895e+00
3.610002575442194939e-03,3.941411618143320084e-03,4.556491394042968750e+02,4.581989440917968750e+02,1.107019305229187012e+00,1.113214135169982910e+00
4.061128012835979462e-03,4.433951340615749359e-03,4.826386718750000000e+02,4.850049438476562500e+02,1.172591567039489746e+00,1.178340435028076172e+00
4.512253217399120331e-03,4.926491528749465942e-03,5.085480957031250000e+02,5.109257202148437500e+02,1.235539555549621582e+00,1.241316080093383789e+00
4.963378421962261200e-03,5.419031251221895218e-03,5.333839111328125000e+02,5.359306640625000000e+02,1.295879244804382324e+00,1.302066683769226074e+00
5.414503626525402069e-03,5.911570973694324493e-03,5.574066772460937500e+02,5.599931030273437500e+02,1.354243636131286621e+00,1.360527396202087402e+00
5.865629296749830246e-03,6.404111161828041077e-03,5.806160888671875000e+02,5.830891723632812500e+02,1.410631895065307617e+00,1.416640281677246094e+00
6.316754501312971115e-03,6.896650884300470352e-03,6.030114746093750000e+02,6.051950683593750000e+02,1.465042471885681152e+00,1.470347523689270020e+00
6.767879705876111984e-03,7.389191072434186935e-03,6.239303588867187500e+02,6.262902221679687500e+02,1.515865802764892578e+00,1.521599173545837402e+00
7.219004910439252853e-03,7.881730794906616211e-03,6.438510131835937500e+02,6.463575439453125000e+02,1.564263820648193359e+00,1.570353627204895020e+00
7.670130115002393723e-03,8.374270983040332794e-03,6.628898315429687500e+02,6.653799438476562500e+02,1.610519528388977051e+00,1.616569280624389648e+00
8.121255785226821899e-03,8.866811171174049377e-03,6.810520629882812500e+02,6.833444213867187500e+02,1.654645442962646484e+00,1.660214781761169434e+00
8.572380989789962769e-03,9.359350427985191345e-03,6.982262573242187500e+02,7.002385864257812500e+02,1.696370840072631836e+00,1.701259851455688477e+00
9.023506194353103638e-03,9.851890616118907928e-03,7.137659301757812500e+02,7.160533447265625000e+02,1.734125137329101562e+00,1.739682555198669434e+00
9.474631398916244507e-03,1.034443080425262451e-02,7.283896484375000000e+02,7.307805175781250000e+02,1.769654154777526855e+00,1.775462865829467773e+00
9.925756603479385376e-03,1.083697006106376648e-02,7.421077880859375000e+02,7.444151000976562500e+02,1.802982926368713379e+00,1.808588624000549316e+00
1.037688180804252625e-02,1.132951024919748306e-02,7.549298095703125000e+02,7.569532470703125000e+02,1.834134578704833984e+00,1.839050650596618652e+00
1.082800794392824173e-02,1.182205043733119965e-02,7.664720458984375000e+02,7.683922729492187500e+02,1.862176895141601562e+00,1.866842269897460938e+00
1.127913314849138260e-02,1.231459062546491623e-02,7.765723266601562500e+02,7.787333374023437500e+02,1.886716008186340332e+00,1.891966342926025391e+00
1.173025835305452347e-02,1.280713081359863281e-02,7.857686157226562500e+02,7.879771728515625000e+02,1.909058809280395508e+00,1.914424538612365723e+00
1.218138355761766434e-02,1.329967007040977478e-02,7.940746459960937500e+02,7.961274414062500000e+02,1.929238677024841309e+00,1.934226036071777344e+00
1.263250876218080521e-02,1.379221025854349136e-02,8.015022583007812500e+02,8.031895751953125000e+02,1.947284340858459473e+00,1.951383829116821289e+00
1.308363396674394608e-02,1.428474951535463333e-02,8.073739013671875000e+02,8.091696166992187500e+02,1.961549758911132812e+00,1.965912580490112305e+00
1.353475917130708694e-02,1.477728970348834991e-02,8.120906372070312500e+02,8.140762939453125000e+02,1.973009347915649414e+00,1.977833509445190430e+00
1.398588437587022781e-02,1.526982989162206650e-02,8.159488525390625000e+02,8.179187622070312500e+02,1.982383012771606445e+00,1.987169027328491211e+00
1.443700958043336868e-02,1.576237007975578308e-02,8.189636840820312500e+02,8.207080078125000000e+02,1.989707708358764648e+00,1.993945598602294922e+00
1.488813571631908417e-02,1.625491119921207428e-02,8.211532592773437500e+02,8.224564819335937500e+02,1.995027303695678711e+00,1.998193502426147461e+00
1.533926092088222504e-02,1.674745045602321625e-02,8.215371093750000000e+02,8.231777343750000000e+02,1.995959877967834473e+00,1.999945878982543945e+00
1.579038612544536591e-02,1.723998971283435822e-02,8.211164550781250000e+02,8.228864135742187500e+02,1.994937896728515625e+00,1.999238133430480957e+00
1.624151133000850677e-02,1.773252896964550018e-02,8.199084472656250000e+02,8.215983886718750000e+02,1.992002964019775391e+00,1.996108770370483398e+00
1.669263653457164764e-02,1.822507008910179138e-02,8.179282226562500000e+02,8.193307495117187500e+02,1.987191915512084961e+00,1.990599513053894043e+00
1.714376173913478851e-02,1.871760934591293335e-02,8.149160766601562500e+02,8.161012573242187500e+02,1.979873776435852051e+00,1.982753276824951172e+00
1.759488694369792938e-02,1.921014860272407532e-02,8.104692382812500000e+02,8.119289550781250000e+02,1.969070076942443848e+00,1.972616434097290039e+00
1.804601214826107025e-02,1.970268972218036652e-02,8.053082885742187500e+02,8.068332519531250000e+02,1.956531286239624023e+00,1.960236191749572754e+00
1.849713735282421112e-02,2.019522897899150848e-02,7.994494018554687500e+02,8.008350219726562500e+02,1.942296862602233887e+00,1.945663332939147949e+00
1.894826255738735199e-02,2.068776823580265045e-02,7.929066162109375000e+02,7.939557495117187500e+02,1.926400899887084961e+00,1.928949832916259766e+00
1.939938776195049286e-02,2.118030935525894165e-02,7.851632690429687500e+02,7.862169189453125000e+02,1.907588124275207520e+00,1.910148024559020996e+00
1.985051296651363373e-02,2.167284861207008362e-02,7.763823852539062500e+02,7.776417236328125000e+02,1.886254549026489258e+00,1.889314174652099609e+00
2.030163817107677460e-02,2.216538786888122559e-02,7.669898681640625000e+02,7.682531127929687500e+02,1.863435029983520508e+00,1.866504192352294922e+00
2.075276523828506470e-02,2.265793085098266602e-02,7.569999389648437500e+02,7.580746459960937500e+02,1.839164018630981445e+00,1.841775059700012207e+00
2.120389044284820557e-02,2.315047010779380798e-02,7.464245605468750000e+02,7.471304931640625000e+02,1.813470721244812012e+00,1.815185785293579102e+00
2.165501564741134644e-02,2.364300936460494995e-02,7.345343017578125000e+02,7.354453125000000000e+02,1.784582853317260742e+00,1.786796212196350098e+00
2.210614085197448730e-02,2.413554862141609192e-02,7.219968872070312500e+02,7.230447387695312500e+02,1.754122614860534668e+00,1.756668448448181152e+00
2.255726605653762817e-02,2.462808974087238312e-02,7.089561157226562500e+02,7.099527587890625000e+02,1.722439527511596680e+00,1.724860906600952148e+00
2.300839126110076904e-02,2.512062899768352509e-02,6.954232177734375000e+02,6.961957397460937500e+02,1.689560770988464355e+00,1.691437602043151855e+00
2.345951646566390991e-02,2.561316825449466705e-02,6.812946777343750000e+02,6.817995605468750000e+02,1.655234813690185547e+00,1.656461477279663086e+00
2.391064167022705078e-02,2.610570937395095825e-02,6.660297851562500000e+02,6.667892456054687500e+02,1.618148088455200195e+00,1.619993329048156738e+00
2.436176687479019165e-02,2.659824863076210022e-02,6.503598022460937500e+02,6.511911010742187500e+02,1.580077290534973145e+00,1.582096934318542480e+00
2.481289207935333252e-02,2.709078788757324219e-02,6.342946166992187500e+02,6.350317993164062500e+02,1.541046142578125000e+00,1.542837142944335938e+00
2.526401728391647339e-02,2.758332900702953339e-02,6.178421630859375000e+02,6.183370971679687500e+02,1.501074194908142090e+00,1.502276659011840820e+00
2.571514248847961426e-02,2.807586826384067535e-02,6.007077636718750000e+02,6.011322631835937500e+02,1.459445476531982422e+00,1.460476756095886230e+00
2.616626769304275513e-02,2.856840752065181732e-02,5.828425903320312500e+02,5.834444580078125000e+02,1.416041254997253418e+00,1.417503476142883301e+00
2.661739289760589600e-02,2.906094677746295929e-02,5.646797485351562500e+02,5.652987670898437500e+02,1.371913790702819824e+00,1.373417735099792480e+00
2.706851810216903687e-02,2.955348789691925049e-02,5.462254638671875000e+02,5.467208862304687500e+02,1.327078342437744141e+00,1.328281998634338379e+00
2.751964330673217773e-02,3.004602715373039246e-02,5.274838867187500000e+02,5.277369384765625000e+02,1.281544923782348633e+00,1.282159686088562012e+00
2.797076851129531860e-02,3.053856641054153442e-02,5.080393066406250000e+02,5.083728332519531250e+02,1.234303474426269531e+00,1.235113739967346191e+00
2.842189557850360870e-02,3.103110939264297485e-02,4.882120666503906250e+02,4.886524963378906250e+02,1.186132311820983887e+00,1.187202334403991699e+00
2.887302078306674957e-02,3.152364864945411682e-02,4.681868896484375000e+02,4.686019897460937500e+02,1.137480258941650391e+00,1.138488769531250000e+00
2.932414598762989044e-02,3.201618790626525879e-02,4.479658508300781250e+02,4.482451171875000000e+02,1.088352441787719727e+00,1.089030861854553223e+00
2.977527119219303131e-02,3.250872716307640076e-02,4.275504760742187500e+02,4.276070251464843750e+02,1.038752317428588867e+00,1.038889765739440918e+00
3.022639639675617218e-02,3.300127014517784119e-02,4.064816284179687500e+02,4.067116394042968750e+02,9.875646829605102539e-01,9.881234765052795410e-01
3.067752160131931305e-02,3.349380940198898315e-02,3.853040466308593750e+02,3.855827026367187500e+02,9.361128211021423340e-01,9.367898106575012207e-01
3.112864680588245392e-02,3.398634865880012512e-02,3.640173339843750000e+02,3.642428588867187500e+02,8.843958377838134766e-01,8.849437832832336426e-01
3.157977014780044556e-02,3.447888419032096863e-02,3.426200561523437500e+02,3.427150573730468750e+02,8.324102163314819336e-01,8.326410651206970215e-01
3.203089907765388489e-02,3.497143089771270752e-02,3.210057067871093750e+02,3.210237731933593750e+02,7.798972129821777344e-01,7.799411416053771973e-01
3.248202428221702576e-02,3.546397015452384949e-02,2.990742797851562500e+02,2.991896362304687500e+02,7.266138792037963867e-01,7.268941402435302734e-01
3.293314948678016663e-02,3.595650941133499146e-02,2.771146240234375000e+02,2.772334289550781250e+02,6.732619404792785645e-01,6.735506057739257812e-01
3.338427469134330750e-02,3.644904866814613342e-02,2.551224212646484375e+02,2.551786651611328125e+02,6.198309659957885742e-01,6.199675798416137695e-01
3.383539989590644836e-02,3.694158792495727539e-02,2.330924224853515625e+02,2.330444183349609375e+02,5.663081407546997070e-01,5.661914944648742676e-01
3.428652510046958923e-02,3.743412718176841736e-02,2.108945007324218750e+02,2.108512878417968750e+02,5.123773217201232910e-01,5.122722983360290527e-01
3.473765030503273010e-02,3.792667016386985779e-02,1.886282348632812500e+02,1.886197509765625000e+02,4.582804441452026367e-01,4.582598209381103516e-01
3.518877550959587097e-02,3.841920942068099976e-02,1.664004211425781250e+02,1.663690490722656250e+02,4.042770266532897949e-01,4.042007923126220703e-01
3.563990071415901184e-02,3.891174867749214172e-02,1.442032928466796875e+02,1.441167144775390625e+02,3.503481447696685791e-01,3.501377999782562256e-01
3.609102591872215271e-02,3.940428793430328369e-02,1.220288543701171875e+02,1.218825073242187500e+02,2.964743673801422119e-01,2.961188256740570068e-01
3.654215112328529358e-02,3.989682719111442566e-02,9.980879974365234375e+01,9.968344116210937500e+01,2.424897849559783936e-01,2.421852350234985352e-01
3.699327632784843445e-02,4.038936644792556763e-02,7.767407989501953125e+01,7.753775024414062500e+01,1.887125372886657715e-01,1.883813142776489258e-01
3.744440153241157532e-02,4.088190570473670959e-02,5.563088989257812500e+01,5.546138763427734375e+01,1.351576447486877441e-01,1.347458362579345703e-01
3.789552673697471619e-02,4.137444868683815002e-02,3.366780471801757812e+01,3.347059249877929688e+01,8.179738372564315796e-02,8.131825178861618042e-02
3.834665194153785706e-02,4.186698794364929199e-02,1.177875995635986328e+01,1.158122444152832031e+01,2.861700579524040222e-02,2.813708595931529999e-02
3.879777714610099792e-02,4.235952720046043396e-02,9.975175857543945312e+00,1.019130039215087891e+01,2.423512004315853119e-02,2.476020529866218567e-02
3.924890235066413879e-02,4.285206645727157593e-02,3.157603073120117188e+01,3.183219718933105469e+01,7.671532779932022095e-02,7.733769714832305908e-02
3.970002755522727966e-02,4.334460571408271790e-02,5.304590225219726562e+01,5.332803344726562500e+01,1.288773119449615479e-01,1.295627653598785400e-01
4.015115275979042053e-02,4.383714497089385986e-02,7.439762878417968750e+01,7.466451263427734375e+01,1.807522475719451904e-01,1.814006567001342773e-01
4.060227796435356140e-02,4.432968795299530029e-02,9.556900024414062500e+01,9.582829284667968750e+01,2.321890145540237427e-01,2.328189760446548462e-01
4.105340316891670227e-02,4.482222720980644226e-02,1.164793014526367188e+02,1.168075790405273438e+02,2.829914987087249756e-01,2.837890684604644775e-01
4.150452837347984314e-02,4.531476646661758423e-02,1.372154846191406250e+02,1.375903472900390625e+02,3.333709537982940674e-01,3.342816829681396484e-01
4.195565357804298401e-02,4.580730572342872620e-02,1.577922058105468750e+02,1.581640167236328125e+02,3.833629786968231201e-01,3.842663168907165527e-01
4.240677878260612488e-02,4.629984498023986816e-02,1.782247314453125000e+02,1.785191650390625000e+02,4.330046772956848145e-01,4.337200224399566650e-01
4.285790398716926575e-02,4.679238423705101013e-02,1.982990875244140625e+02,1.986428527832031250e+02,4.817762076854705811e-01,4.826113879680633545e-01
4.330902919173240662e-02,4.728492349386215210e-02,2.180880584716796875e+02,2.185271606445312500e+02,5.298543572425842285e-01,5.309211611747741699e-01
4.376015439629554749e-02,4.777746647596359253e-02,2.376854858398437500e+02,2.381615447998046875e+02,5.774671435356140137e-01,5.786237716674804688e-01
4.421127960085868835e-02,4.827000573277473450e-02,2.571077575683593750e+02,2.575367126464843750e+02,6.246544122695922852e-01,6.256965994834899902e-01
4.466240480542182922e-02,4.876254498958587646e-02,2.763707885742187500e+02,2.766448669433593750e+02,6.714547872543334961e-01,6.721206307411193848e-01
4.511353000998497009e-02,4.925508424639701843e-02,2.950330200195312500e+02,2.954779663085937500e+02,7.167954444885253906e-01,7.178764939308166504e-01
4.556465521454811096e-02,4.974762350320816040e-02,3.134795837402343750e+02,3.140270690917968750e+02,7.616121768951416016e-01,7.629423141479492188e-01
4.601578041911125183e-02,5.024016276001930237e-02,3.317278442382812500e+02,3.322858276367187500e+02,8.059471249580383301e-01,8.073027729988098145e-01
4.646690562367439270e-02,5.073270574212074280e-02,3.497949829101562500e+02,3.502464904785156250e+02,8.498420119285583496e-01,8.509389758110046387e-01
4.691803082823753357e-02,5.122524499893188477e-02,3.675409545898437500e+02,3.679043884277343750e+02,8.929566144943237305e-01,8.938395977020263672e-01
4.736915603280067444e-02,5.171778425574302673e-02,3.846958007812500000e+02,3.852518920898437500e+02,9.346350431442260742e-01,9.359861016273498535e-01
4.782028496265411377e-02,5.221032723784446716e-02,4.016363525390625000e+02,4.022854309082031250e+02,9.757928848266601562e-01,9.773698449134826660e-01
4.827141016721725464e-02,5.270286649465560913e-02,4.183804016113281250e+02,4.189970397949218750e+02,1.016473293304443359e+00,1.017971396446228027e+00
4.872253537178039551e-02,5.319540575146675110e-02,4.349458618164062500e+02,4.353843383789062500e+02,1.056719779968261719e+00,1.057785034179687500e+00
4.917366057634353638e-02,5.368794873356819153e-02,4.509654541015625000e+02,4.514423828125000000e+02,1.095640063285827637e+00,1.096798777580261230e+00
4.962478578090667725e-02,5.418048799037933350e-02,4.664925842285156250e+02,4.671672668457031250e+02,1.133363842964172363e+00,1.135003089904785156e+00
5.007591098546981812e-02,5.467302724719047546e-02,4.818147583007812500e+02,4.825549926757812500e+02,1.170589804649353027e+00,1.172388195991516113e+00
5.052703619003295898e-02,5.516556650400161743e-02,4.969501647949218750e+02,4.976029968261718750e+02,1.207361936569213867e+00,1.208948016166687012e+00
5.097816139459609985e-02,5.565810576081275940e-02,5.119164733886718750e+02,5.123077392578125000e+02,1.243723154067993164e+00,1.244673848152160645e+00
5.142928659915924072e-02,5.615064501762390137e-02,5.260559082031250000e+02,5.266668090820312500e+02,1.278075575828552246e+00,1.279559731483459473e+00
5.188041180372238159e-02,5.664318427443504333e-02,5.398829345703125000e+02,5.406784667968750000e+02,1.311668872833251953e+00,1.313601732254028320e+00
5.233153700828552246e-02,5.713572725653648376e-02,5.535207519531250000e+02,5.543403930664062500e+02,1.344802618026733398e+00,1.346793889999389648e+00
5.278266221284866333e-02,5.762826651334762573e-02,5.669872436523437500e+02,5.676517333984375000e+02,1.377519965171813965e+00,1.379134416580200195e+00
5.323378741741180420e-02,5.812080577015876770e-02,5.801746215820312500e+02,5.806102294921875000e+02,1.409559369087219238e+00,1.410617589950561523e+00
5.368491262197494507e-02,5.861334502696990967e-02,5.924566650390625000e+02,5.932147827148437500e+02,1.439399123191833496e+00,1.441240906715393066e+00
5.413603782653808594e-02,5.910588428378105164e-02,6.045521240234375000e+02,6.054660034179687500e+02,1.468785524368286133e+00,1.471005797386169434e+00
