position_mm	force_at_1Pa_N	force_at_1000Pa_N	force_at_1000Pa_div_1e6_N	relative_scaling_deviation
1.4	1.80603691193e-15	1.80603694296e-09	1.80603694296e-15	1.718126021e-08
3.396039604	6.32714525365e-17	6.32714522367e-11	6.32714522367e-17	-4.738324765e-09
