      0.2083457E-03      0.9318479E-05      0.1309974E-02      0.9231848E-17      0.7101422E-17     -0.8298060E-17
      0.3125185E-03      0.9318479E-05      0.3035880E-02     -0.6487149E-15     -0.2593262E-14      0.1372738E-06
      0.4166914E-03      0.9318479E-05      0.4876466E-02     -0.1587878E-14     -0.6981053E-14      0.4554183E-06
      0.5208642E-03      0.9318479E-05      0.6730883E-02     -0.1995855E-14     -0.1208857E-13      0.9664802E-06
      0.6250371E-03      0.9318479E-05      0.8565988E-02     -0.7161784E-15     -0.1725237E-13      0.1671943E-05
      0.7292099E-03      0.9318479E-05      0.1037146E-01      0.3721145E-14     -0.2219620E-13      0.2569807E-05
      0.8333828E-03      0.9318479E-05      0.1214463E-01      0.1302152E-13     -0.2677414E-13      0.3656983E-05
      0.9375556E-03      0.9318478E-05      0.1388534E-01      0.2911299E-13     -0.3105594E-13      0.4930090E-05
      0.1041728E-02      0.9318478E-05      0.1559423E-01      0.5252105E-13     -0.3671062E-13      0.6385729E-05
      0.1145901E-02      0.9318443E-05      0.1727220E-01      0.5699946E-12      0.4959088E-11      0.8059286E-05
      0.1250074E-02      0.9318443E-05      0.1892007E-01      0.5627149E-12      0.4864381E-11      0.9870046E-05
      0.1354247E-02      0.9318443E-05      0.2053874E-01      0.5672780E-12      0.4867649E-11      0.1185359E-04
      0.1458420E-02      0.9318443E-05      0.2212906E-01      0.5132864E-12      0.4907205E-11      0.1400686E-04
      0.1562593E-02      0.9318443E-05      0.2369181E-01      0.5198325E-12      0.4917988E-11      0.1632684E-04
      0.1666766E-02      0.9318442E-05      0.2522775E-01      0.5282882E-12      0.4935583E-11      0.1881067E-04
      0.1770938E-02      0.9318442E-05      0.2673760E-01      0.5366061E-12      0.4951438E-11      0.2145552E-04
      0.1875111E-02      0.9318442E-05      0.2822204E-01      0.5439199E-12      0.4962079E-11      0.2425865E-04
      0.1979284E-02      0.9318442E-05      0.2968172E-01      0.5369704E-12      0.4930503E-11      0.2721740E-04
      0.2083457E-02      0.9318443E-05      0.3111728E-01      0.5429814E-12      0.4939110E-11      0.3032915E-04
      0.2187630E-02      0.9318479E-05      0.3252920E-01      0.5477258E-11      0.1139826E-10      0.3376566E-04
      0.2291803E-02      0.9318479E-05      0.3391830E-01      0.5476231E-11      0.1139807E-10      0.3717608E-04
      0.2395975E-02      0.9318479E-05      0.3528500E-01      0.5471885E-11      0.1139418E-10      0.4073209E-04
      0.2500148E-02      0.9318479E-05      0.3662987E-01      0.5611713E-11      0.1143119E-10      0.4443131E-04
      0.2604321E-02      0.9318480E-05      0.3795340E-01      0.5606907E-11      0.1142655E-10      0.4827143E-04
